field,ra,dec
SPLUS-b032,269.6083333,-25.30027778
SPLUS-b033,271.1708333,-25.30027778
SPLUS-b038,278.9625,-25.30027778
SPLUS-b039,280.5208333,-25.30027778
SPLUS-b040,282.0791667,-25.30027778
SPLUS-b041,262.1041667,-26.68972222
SPLUS-b043,265.2625,-26.68972222
SPLUS-b044,266.8416667,-26.68972222
SPLUS-b045,268.4208333,-26.68972222
SPLUS-b046,270.0,-26.68972222
SPLUS-b051,277.8958333,-26.68972222
SPLUS-b054,282.6333333,-26.68972222
SPLUS-b056,285.7875,-26.68972222
SPLUS-b058,262.8333333,-28.07722222
SPLUS-b060,266.0166667,-28.07722222
SPLUS-b061,267.6125,-28.07722222
SPLUS-b067,277.1666667,-28.07722222
SPLUS-b068,278.7625,-28.07722222
SPLUS-b069,280.3541667,-28.07722222
SPLUS-b070,281.9458333,-28.07722222
SPLUS-b071,283.5416667,-28.07722222
SPLUS-b072,285.1333333,-28.07722222
SPLUS-b073,259.9083333,-29.46305556
SPLUS-b074,261.525,-29.46305556
SPLUS-b076,264.7541667,-29.46305556
SPLUS-b077,266.3666667,-29.46305556
SPLUS-b084,277.6666667,-29.46305556
SPLUS-b085,279.2833333,-29.46305556
SPLUS-b086,280.8958333,-29.46305556
SPLUS-b087,282.5125,-29.46305556
SPLUS-b088,284.125,-29.46305556
SPLUS-b089,258.5458333,-30.84722222
SPLUS-b090,260.1833333,-30.84722222
SPLUS-b091,261.8166667,-30.84722222
SPLUS-b092,263.4541667,-30.84722222
SPLUS-b093,265.0916667,-30.84722222
SPLUS-b094,266.7291667,-30.84722222
SPLUS-b100,276.5458333,-30.84722222
SPLUS-b101,278.1833333,-30.84722222
SPLUS-b102,279.8166667,-30.84722222
SPLUS-b103,281.4541667,-30.84722222
SPLUS-b104,283.0916667,-30.84722222
SPLUS-b105,284.7291667,-30.84722222
SPLUS-b106,257.1416667,-32.22916667
SPLUS-b108,260.4625,-32.22916667
SPLUS-b109,262.1208333,-32.22916667
SPLUS-b110,263.7791667,-32.22916667
SPLUS-b111,265.4375,-32.22916667
SPLUS-b112,267.0958333,-32.22916667
SPLUS-b117,275.3916667,-32.22916667
SPLUS-b118,277.05,-32.22916667
SPLUS-b119,278.7083333,-32.22916667
SPLUS-b120,280.3666667,-32.22916667
SPLUS-b121,282.0291667,-32.22916667
SPLUS-b122,283.6875,-32.22916667
SPLUS-b124,258.5916667,-33.60916667
SPLUS-b125,260.2833333,-33.60916667
SPLUS-b126,261.9708333,-33.60916667
SPLUS-b127,263.6625,-33.60916667
SPLUS-b133,273.8041667,-33.60916667
SPLUS-b135,277.1833333,-33.60916667
SPLUS-b136,278.875,-33.60916667
SPLUS-b137,280.5625,-33.60916667
SPLUS-b138,282.2541667,-33.60916667
SPLUS-b140,258.8583333,-34.98666667
SPLUS-b141,260.5708333,-34.98666667
SPLUS-b142,262.2875,-34.98666667
SPLUS-b143,264.0,-34.98666667
SPLUS-b147,270.8583333,-34.98666667
SPLUS-b151,277.7125,-34.98666667
SPLUS-b152,279.4291667,-34.98666667
SPLUS-b153,281.1416667,-34.98666667
SPLUS-b154,259.1291667,-36.3625
SPLUS-b155,260.8708333,-36.3625
SPLUS-b164,276.5208333,-36.3625
SPLUS-b165,278.2625,-36.3625
SPLUS-b166,280.0,-36.3625
SPLUS-b167,281.7375,-36.3625
SPLUS-b168,260.6916667,-37.73611111
SPLUS-b173,269.5583333,-37.73611111
SPLUS-b175,273.1041667,-37.73611111
SPLUS-b176,274.875,-37.73611111
SPLUS-b177,276.65,-37.73611111
SPLUS-b178,278.425,-37.73611111
SPLUS-b179,280.1958333,-37.73611111
SPLUS-b185,273.1666667,-39.10722222
SPLUS-b186,274.975,-39.10722222
SPLUS-b187,276.7833333,-39.10722222
SPLUS-b188,278.5916667,-39.10722222
SPLUS-b189,280.4,-39.10722222
SPLUS-b191,269.5375,-40.47611111
SPLUS-b194,275.075,-40.47611111
SPLUS-b195,276.925,-40.47611111
SPLUS-b196,278.7708333,-40.47611111
SPLUS-b198,271.4125,-41.84222222
SPLUS-b199,273.3,-41.84222222
SPLUS-b200,275.1833333,-41.84222222
SPLUS-b201,277.0666667,-41.84222222
SPLUS-b202,273.3708333,-43.20583333
SPLUS-b203,275.2958333,-43.20583333
SPLUS-b204,277.2208333,-43.20583333
SPLUS-d002,108.1416667,-5.6675
SPLUS-d005,105.7125,-7.080277778
SPLUS-d011,104.2875,-8.491666667
SPLUS-d012,105.7125,-8.491666667
SPLUS-d013,107.1416667,-8.491666667
SPLUS-d020,101.8333333,-9.901388889
SPLUS-d022,104.7,-9.901388889
SPLUS-d023,106.1375,-9.901388889
SPLUS-d024,107.5708333,-9.901388889
SPLUS-d025,109.0041667,-9.901388889
SPLUS-d028,113.3083333,-9.901388889
SPLUS-d029,96.47916667,-11.30944444
SPLUS-d033,102.2416667,-11.30944444
SPLUS-d034,103.6791667,-11.30944444
SPLUS-d035,105.1208333,-11.30944444
SPLUS-d036,106.5583333,-11.30944444
SPLUS-d037,108.0,-11.30944444
SPLUS-d038,109.4416667,-11.30944444
SPLUS-d040,112.3208333,-11.30944444
SPLUS-d042,94.35416667,-12.71611111
SPLUS-d043,95.80833333,-12.71611111
SPLUS-d044,97.25833333,-12.71611111
SPLUS-d045,98.70833333,-12.71611111
SPLUS-d046,100.1625,-12.71611111
SPLUS-d049,104.5166667,-12.71611111
SPLUS-d050,105.9666667,-12.71611111
SPLUS-d051,107.4208333,-12.71611111
SPLUS-d052,108.8708333,-12.71611111
SPLUS-d053,110.3208333,-12.71611111
SPLUS-d056,114.6791667,-12.71611111
SPLUS-d057,93.27916667,-14.12083333
SPLUS-d058,94.7375,-14.12083333
SPLUS-d059,96.19583333,-14.12083333
SPLUS-d060,97.65,-14.12083333
SPLUS-d061,99.10833333,-14.12083333
SPLUS-d062,100.5666667,-14.12083333
SPLUS-d065,104.9375,-14.12083333
SPLUS-d066,106.3958333,-14.12083333
SPLUS-d068,109.3125,-14.12083333
SPLUS-d071,113.6833333,-14.12083333
SPLUS-d072,115.1416667,-14.12083333
SPLUS-d073,95.12083333,-15.52416667
SPLUS-d074,96.58333333,-15.52416667
SPLUS-d075,98.05,-15.52416667
SPLUS-d076,99.5125,-15.52416667
SPLUS-d078,102.4375,-15.52416667
SPLUS-d081,106.8291667,-15.52416667
SPLUS-d083,109.7541667,-15.52416667
SPLUS-d084,111.2208333,-15.52416667
SPLUS-d085,112.6833333,-15.52416667
SPLUS-d086,114.1458333,-15.52416667
SPLUS-d087,115.6083333,-15.52416667
SPLUS-d088,94.425,-16.92583333
SPLUS-d090,97.375,-16.92583333
SPLUS-d091,98.85416667,-16.92583333
SPLUS-d094,103.2791667,-16.92583333
SPLUS-d097,107.7041667,-16.92583333
SPLUS-d098,109.1791667,-16.92583333
SPLUS-d099,110.6541667,-16.92583333
SPLUS-d102,115.0833333,-16.92583333
SPLUS-d106,98.18333333,-18.32583333
SPLUS-d107,99.67083333,-18.32583333
SPLUS-d108,101.1583333,-18.32583333
SPLUS-d109,102.6458333,-18.32583333
SPLUS-d112,107.1083333,-18.32583333
SPLUS-d114,110.0833333,-18.32583333
SPLUS-d115,111.5708333,-18.32583333
SPLUS-d117,114.5458333,-18.32583333
SPLUS-d120,96.0,-19.72416667
SPLUS-d121,97.5,-19.72416667
SPLUS-d123,100.5,-19.72416667
SPLUS-d124,102.0,-19.72416667
SPLUS-d125,103.5,-19.72416667
SPLUS-d126,105.0,-19.72416667
SPLUS-d127,106.5,-19.72416667
SPLUS-d128,108.0,-19.72416667
SPLUS-d130,111.0,-19.72416667
SPLUS-d131,112.5,-19.72416667
SPLUS-d133,115.5,-19.72416667
SPLUS-d136,96.80833333,-21.12055556
SPLUS-d137,98.32083333,-21.12055556
SPLUS-d138,99.83333333,-21.12055556
SPLUS-d139,101.3458333,-21.12055556
SPLUS-d140,102.8583333,-21.12055556
SPLUS-d141,104.3708333,-21.12055556
SPLUS-d142,105.8833333,-21.12055556
SPLUS-d143,107.3958333,-21.12055556
SPLUS-d145,110.4208333,-21.12055556
SPLUS-d146,111.9333333,-21.12055556
SPLUS-d147,113.4458333,-21.12055556
SPLUS-d149,116.4708333,-21.12055556
SPLUS-d150,117.9833333,-21.12055556
SPLUS-d152,97.62916667,-22.51555556
SPLUS-d153,99.15416667,-22.51555556
SPLUS-d154,100.6791667,-22.51555556
SPLUS-d155,102.2041667,-22.51555556
SPLUS-d156,103.7291667,-22.51555556
SPLUS-d157,105.2541667,-22.51555556
SPLUS-d158,106.7791667,-22.51555556
SPLUS-d159,108.3041667,-22.51555556
SPLUS-d160,109.8291667,-22.51555556
SPLUS-d161,111.3541667,-22.51555556
SPLUS-d164,115.9333333,-22.51555556
SPLUS-d165,117.4583333,-22.51555556
SPLUS-d166,118.9833333,-22.51555556
SPLUS-d169,100.0,-23.90861111
SPLUS-d170,101.5375,-23.90861111
SPLUS-d172,104.6166667,-23.90861111
SPLUS-d174,107.6916667,-23.90861111
SPLUS-d175,109.2291667,-23.90861111
SPLUS-d176,110.7708333,-23.90861111
SPLUS-d177,112.3083333,-23.90861111
SPLUS-d178,113.8458333,-23.90861111
SPLUS-d179,115.3833333,-23.90861111
SPLUS-d180,116.925,-23.90861111
