id,ra_be,dec_be,mag_psf_g_be,mag_psf_i_be,mag_psf_j0378_be,mag_psf_j0395_be,mag_psf_j0410_be,mag_psf_j0430_be,mag_psf_j0515_be,mag_psf_j0660_be,mag_psf_j0861_be,mag_psf_r_be,mag_psf_u_be,mag_psf_z_be,OGLE-II,OGLE-III,OGLE-IV,ura,udec,OGLE,Ori,DC,DDC,Nou,Mass,Group,id_x,ra_simb,dec_simb,parallax,gaia_ruwe,gaia_parallax_over_error,gaia_classprob_dsc_combmod_star,gaia_in_qso_candidates,gaia_in_galaxy_candidates,gaia_phot_bp_rp_excess_factor,err_mag_psf_u,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_g,err_mag_psf_j0515,err_mag_psf_r,err_mag_psf_j0660,err_mag_psf_i,err_mag_psf_j0861,err_mag_psf_z,mag_psf_u_simb,mag_psf_j0378_simb,mag_psf_j0395_simb,mag_psf_j0410_simb,mag_psf_j0430_simb,mag_psf_g_simb,mag_psf_j0515_simb,mag_psf_r_simb,mag_psf_j0660_simb,mag_psf_i_simb,mag_psf_j0861_simb,mag_psf_z_simb,ri,rJ0660,delta_Ha,thr,panel_label,excess,main_type,main_id,size_angle,splus_idr6_id,id_y,mu_max_u,mu_max_g,mu_max_r,mu_max_i,mu_max_z,mu_max_j0378,mu_max_j0395,mu_max_j0410,mu_max_j0430,mu_max_j0515,mu_max_j0660,mu_max_j0861,upload_ra,upload_dec,upload_splus_idr6_id,mu_background_g,mu_background_i,mu_background_j0378,mu_background_j0395,mu_background_j0410,mu_background_j0430,mu_background_j0515,mu_background_j0660,mu_background_j0861,mu_background_r,mu_background_u,mu_background_z,flags_det,flags_g,flags_i,flags_j0378,flags_j0395,flags_j0410,flags_j0430,flags_j0515,flags_j0660,flags_j0861,flags_r,flags_u,flags_z,r_i,r_j0660,j0515_j0660,j0660_i,j0660_j0861,u_j0378,j0378_j0410,g_r,j0395_j0410,i_j0861,j0515_r,j0430_g,gaia_source_id
i06MC009500VPE,15.986661448075733,-72.82401351920556,15.179577423095704,15.456721263885498,15.014469539642334,14.958525474548338,15.041217945098875,15.059061614990236,15.158491107940671,15.220235984802247,15.636363452911375,15.285289581298828,15.214977905273436,15.646509643554689,SMC_SC10_3038,SMC110.7.9186,M,15.98642,-72.82394,SMC_SC10_3038,P,0.519,1.0,0.43,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC01150CC4C,15.971164789215454,-72.82769969418896,14.676351860046388,15.127132873535157,14.65997760772705,14.49547916030884,14.54435293197632,14.559869594573977,14.703529922485352,14.802121757507326,15.250958110809323,14.87783618927002,14.89879192352295,15.259920658111572,SMC_SC10_31,SMC110.7.9156,3,15.97104,-72.82756,SMC_SC10_31,P,0.867,1.0,0.344,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009500VP2,15.97110566773632,-72.82767814480471,14.743945121765137,15.161516147613526,14.469637786865237,14.52022882461548,14.616851947784422,14.629966346740725,14.760387870788572,14.851327579498292,15.290348953247069,14.9053237991333,14.81587617111206,15.293427463531494,SMC_SC10_31,SMC110.7.9156,3,15.97104,-72.82756,SMC_SC10_31,P,0.867,1.0,0.344,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC01150CEGB,16.06440277402954,-72.8081545322787,15.868698879241943,16.183145576477052,15.903386287689209,15.728940021514893,15.745416564941408,15.771212406158448,15.914180294036864,15.72023139190674,16.37003062057495,16.00180908203125,,16.385847846984863,SMC_SC10_44295,SMC110.7.26385,SMC726.29.176,16.06412,-72.80814,SMC_SC10_44295,P,0.7,1.0,0.14,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009500XIN,16.06440980151222,-72.80814804646621,15.899342681884765,16.190463573455812,15.752512443542482,15.707871006011963,15.78899016189575,15.789569465637207,15.902163406372072,15.74313282394409,16.35228478240967,15.99761904144287,15.843112155914303,16.369585033416747,SMC_SC10_44295,SMC110.7.26385,SMC726.29.176,16.06412,-72.80814,SMC_SC10_44295,P,0.7,1.0,0.14,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC01150CMM1,16.052972344778954,-72.78397168980396,15.644736976623534,16.32740169143677,15.531974964141844,15.374398077011108,15.449739929199218,15.49575087738037,15.712530151367186,16.106335498809816,16.514195804595946,15.99063876724243,15.700056758880612,16.554673473358154,SMC_SC10_44313,SMC110.7.26381,SMC726.29.226,16.05283,-72.78383,SMC_SC10_44313,P,0.636,1.0,0.092,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC0095013O5,16.05298921252333,-72.78395138292449,15.685099155426029,16.327901321411133,15.395872104644775,15.34753645515442,15.462354801177977,15.506728260040283,15.71182751083374,16.13274864959717,16.5147275390625,15.995602973937988,15.58784310531616,16.532145973205566,SMC_SC10_44313,SMC110.7.26381,SMC726.29.226,16.05283,-72.78383,SMC_SC10_44313,P,0.636,1.0,0.092,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC0095030U6,16.0573530976498,-72.55867573630044,16.259353199005126,16.525174690246583,16.070756721496583,16.030909564971925,16.10928546524048,16.09828849029541,16.232983375549317,16.239084579467775,16.678175872802733,16.344032550811768,16.23619175720215,16.691845081329344,SMC_SC10_54821,SMC110.5.9488,SMC726.29.24704,16.05696,-72.55864,SMC_SC10_54821,P,0.832,1.0,0.37,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC0095043WQ,16.197003541744966,-72.43324718505991,14.570244010925292,14.904105476379396,14.335436111450196,14.311593154907223,14.379328330993651,14.40814380645752,14.581662380218509,14.41881862258911,15.123282493591308,14.715384414672853,14.426125511169436,15.12732355117798,SMC_SC10_59334,SMC113.8.17195,SMC725.05.36,16.19683,-72.43317,SMC_SC10_59334,P,0.548,1.0,0.046,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009504144,16.066206401446244,-72.43872053575525,14.924834197998043,15.118846633911131,14.724040348052975,14.723580936431883,14.793928081512451,14.798579502105714,14.905023113250731,14.726190643310543,15.30055312347412,14.979229785919191,14.783430332183835,15.308204315185543,SMC_SC10_59343,SMC113.8.17202,SMC725.05.111,16.06583,-72.43856,SMC_SC10_59343,E,0.499,1.0,0.139,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009503S36,16.16026905917747,-72.46564865293288,15.732238311767578,15.983928421020508,15.575315170288086,15.53321912574768,15.579660018920896,15.60781888961792,15.712778324127196,15.55807876968384,16.16236557006836,15.808263160705568,15.637195903778077,16.183754440307617,SMC_SC10_59349,SMC110.5.26089,SMC725.05.248,16.16017,-72.46556,SMC_SC10_59349,P,0.245,1.0,0.278,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009506A75,16.15068162558841,-72.16153417666266,15.220513626098631,15.710845470428469,15.08053073501587,15.023717823028566,15.081279731750488,15.130773590087893,15.27289260482788,15.43099699020386,15.939504196166991,15.469386642456056,15.190596885681153,15.937900508880617,SMC_SC10_70458,SMC113.7.40083,SMC725.13.178,16.15108,-72.16144,SMC_SC10_70458,P,0.401,0.543,0.278,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009506M12,16.07432654349714,-72.10156956569416,15.229581336975098,15.918059753417968,15.23869541168213,14.9665041847229,15.010142303466797,15.085968208312988,15.297293418884276,15.670460132598876,16.0945623626709,15.576776454925536,15.48936598587036,16.105183422088622,SMC_SC10_72706,SMC113.6.17868,SMC725.13.265,16.07408,-72.10147,SMC_SC10_72706,E,0.662,1.0,0.139,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009502DRZ,15.857737786871272,-72.6501186481614,15.151304355621338,15.690070960998536,14.935867618560792,14.847989585876466,14.92827477264404,14.957629478454589,15.12805899810791,15.533712783813478,15.870993228912354,15.388654235839844,15.223539516448971,15.891452930450438,SMC_SC10_8906,SMC110.6.22338,SMC726.29.24395,15.85775,-72.65,SMC_SC10_8906,P,0.109,0.553,0.092,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC009503YH7,16.28010468794796,-72.44569369425783,15.397382289886476,16.043960861206056,15.216084247589112,15.125312904357909,15.187281761169434,15.212660598754884,15.434147083282472,15.85893543243408,16.246132839202883,15.72789907836914,15.358167934417724,16.268831581115723,SMC_SC10_94551,SMC113.1.47,SMC725.05.274,16.27992,-72.44561,SMC_SC10_94551,P,0.213,0.649,0.093,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
