Names,RAJ2000_2008,DEJ2000_2008,Type_2008,amaj_2008,amin,PA,Com,SimbadName_2008,RAJ2000_2020,DEJ2000_2020,Type_2020,amaj_2020,bmin,l_logAge,logAge,r_logAge,[M/H],r_[M/H],PapI,B18,SimbadName_2020
"HW16,SOGLE13,RZ32",,,,,,,,,00 42 21.6,-73 44 05,CN,0.6,0.6,,7.6,"GGK10,CVH+06,PU99",,,1.0,B18,HW16
HW18,00 42 58,-72 24 40,C,1.0,1.0,,,HW 18,00 43 01.6,-72 24 30,C,1.0,1.0,,,,,,0.0,B18,HW18
HW19,00 43 27,-74 11 04,C,1.0,1.0,,,HW 19,00 43 27.0,-74 11 04,C,1.0,1.0,,8.95,GGK10,,,1.0,B18,HW19
HW2,,,,,,,,,00 27 56.9,-74 00 04,AC,0.95,0.95,,7.6,GGK10,,,1.0,B18,HW 2
HW20,00 44 47,-74 21 46,C,0.75,0.75,,,HW 20,,,,,,,,,,,,,
"HW20,RZ39",,,,,,,,,00 44 48.0,-74 21 47,C,0.75,0.75,,9.08,RZ05,,,1.0,B18,HW20
HW21,00 45 39,-74 00 31,C,0.45,0.4,70,,HW 21,00 45 39.0,-74 00 31,C,0.45,0.4,,,,,,1.0,B18,HW21
HW22,00 46 44,-72 03 47,C,0.6,0.6,,,HW 22,,,,,,,,,,,,,
"HW22,RZ49",,,,,,,,,00 46 45.2,-72 03 46,C,0.6,0.6,,9.75,"GGK10,PGC+14",-0.7,PPV17,1.0,B18,HW22
HW23,00 46 41,-73 46 29,C,0.55,0.45,30,,HW 23,00 46 42.2,-73 46 28,C,0.55,0.45,,,,,,1.0,B18,HW23
HW24,00 47 29,-72 28 30,C,1.7,1.5,50,,HW 24,,,,,,,,,,,,,
"HW24,RZ52,BIS488",,,,,,,,,00 47 31.7,-72 28 28,C,1.7,1.7,,9.58,"GGK10,RZ05",,,1.0,B18,HW24
HW25,00 48 43,-74 18 11,C,0.5,0.4,60,,HW 25,00 48 44.3,-74 18 10,C,0.5,0.4,,8.65,GGK10,,,1.0,B18,HW25
HW26,00 49 38,-73 42 30,CA,1.2,1.0,130,,HW 26,,,,,,,,,,,,,
"HW26,BIS331",,,,,,,,,00 49 38.0,-73 42 30,CA,1.2,1.0,,9.46,BGB+18,,,1.0,B18,HW26
HW27,00 50 32,-74 36 51,C,0.65,0.65,,,HW 27,,,,,,,,,,,,,
"HW27,RZ62",,,,,,,,,00 50 32.4,-74 36 52,C,0.65,0.65,,8.3,GGK10,,,1.0,B18,HW27
HW28,00 50 40,-74 07 02,CA,0.55,0.45,150,in BS50,HW 28,00 50 40.0,-74 07 02,C,0.55,0.45,,,,,,1.0,B18,HW28
HW29,00 53 49,-74 08 33,CA,0.75,0.65,70,,HW 29,00 53 49.0,-74 08 33,CA,0.75,0.65,,,,,,1.0,B18,HW29
"HW3,RZ6",,,,,,,,,00 29 55.1,-73 41 57,CA,1.5,1.1,,8.0,"GGK10,RZ05",,,1.0,B18,HW 3
HW30,00 54 28,-73 37 05,C,0.55,0.45,10,,HW 30,00 54 28.1,-73 37 03,C,0.55,0.45,,8.85,GGK10,,,1.0,B18,HW30
HW31,00 55 33,-74 03 49,C,0.8,0.75,150,,HW 31,,,,,,,,,,,,,
"HW31,RZ97",,,,,,,,,00 55 34.0,-74 03 46,C,0.8,0.75,,9.66,"GGK10,PGC+14",-0.7,PPV17,1.0,B18,HW31
HW32,00 57 20,-71 10 14,CA,0.65,0.65,,,HW 32,00 57 21.5,-71 10 13,CA,0.65,0.65,,8.0,"GGK10,MPS14",-0.88,PPV17,1.0,B18,HW32
HW33,00 57 23,-70 48 33,C,0.9,0.85,100,in BS84,HW 33,00 57 24.1,-70 48 32,C,0.9,0.85,,8.1,P14,,,1.0,B18,HW33
HW34,00 57 52,-73 32 43,C,1.0,1.0,,,HW 34,,,,,,,,,,,,,
"HW34,RZ105,BIS434",,,,,,,,,00 57 52.0,-73 32 43,C,1.0,1.0,,8.8,GGK10,,,1.0,B18,HW34
HW35,00 58 42,-73 35 02,C,0.85,0.85,,,HW 35,00 58 42.0,-73 35 02,C,0.85,0.85,,8.25,GGK10,,,1.0,B18,HW35
HW36,00 59 03,-73 50 30,C,0.45,0.45,,,HW 36,,,,,,,,,,,,,
"HW36,RZ109",,,,,,,,,00 59 03.7,-73 50 30,C,0.45,0.45,,9.1,RZ05,,,1.0,B18,HW36
HW37,00 59 15,-71 46 08,C,0.75,0.75,,,HW 37,,,,,,,,,,,,,
"HW37,RZ111",,,,,,,,,00 59 15.8,-71 46 04,C,0.75,0.75,,8.05,GGK10,,,1.0,B18,HW37
HW38,00 59 25,-73 49 02,C,0.8,0.8,,,HW 38,,,,,,,,,,,,,
"HW38,RZ113",,,,,,,,,00 59 26.4,-73 49 01,C,0.8,0.8,,8.8,GGK10,,,1.0,B18,HW38
