,id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,err_mag_psf_g,err_mag_psf_i,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_j0515,err_mag_psf_j0660,err_mag_psf_j0861,err_mag_psf_r,err_mag_psf_u,err_mag_psf_z,aperture_id,center_ra,center_dec,sep_arcsec,star_id
14201,i06MC00880HRD5,85.13650652343769,-70.40606077525275,20.22013572883606,18.892198469161983,,19.93793767881393,19.99810941100121,19.945287806987764,20.102496472358705,19.127017978668214,18.79098961448669,19.2841307926178,21.25095330142975,18.688548690795898,0.054592006,0.025751803,,0.18327142,0.15409964,0.13236924,0.12307897,0.03327509,0.042276908,0.03157218,0.22565925,0.03706342,665,85.17164690833627,-70.41016900921144,44.923843744246355,
14202,i06MC00880HRL4,85.1400218381982,-70.40446553534937,19.18890432548523,19.49324240875244,19.70263035583496,19.216256294444204,19.013860087394715,19.08377604007721,19.14459690189361,19.481795791625977,19.604144073486328,19.304498891830445,19.95124174618721,19.540533906936645,0.023220351,0.04293517,0.09739376,0.102812916,0.06993528,0.06601977,0.057395156,0.04350171,0.081210405,0.032078855,0.077903874,0.09286791,665,85.17164690833627,-70.41016900921144,43.348689985883674,
14203,i06MC00880HRJL,85.13028905176404,-70.40686062049556,17.334623138427734,17.532213356018065,17.61060789012909,17.276006866455077,17.19258814430237,17.225652379989626,17.29649087524414,17.437818769454957,17.631051040649414,17.35947654724121,18.05394755268097,17.580803997039794,0.006201673,0.008794198,0.021313863,0.025346389,0.019450823,0.018165654,0.015963886,0.010224947,0.018258665,0.007131453,0.021068264,0.015495674,665,85.17164690833627,-70.41016900921144,51.32499258985401,
14204,i06MC00880HQGJ,85.12797437305386,-70.4075855592286,19.73723367881775,19.49573722076416,20.367335227966308,19.765950788021087,19.66856783008576,19.889282627105715,19.606463757514952,19.5896173157692,19.39236781692505,19.463906030654908,21.084316119194032,19.74028695297241,0.036357872,0.043042857,0.16131873,0.15883127,0.117857195,0.1262456,0.08246801,0.04768641,0.0687373,0.03675944,0.19667023,0.091200754,665,85.17164690833627,-70.41016900921144,53.53123356002295,
14205,i06MC00880HR2R,85.12911143934897,-70.4053621628536,19.239941398620605,19.43283834648132,19.64871954703331,19.295506265223025,19.356534581184388,19.116184992790224,19.28019687271118,19.28664285326004,19.52884028053284,19.199470262527463,19.919570266842843,19.474674589157104,0.024559574,0.040964175,0.092131205,0.111015365,0.09307251,0.06933309,0.06466074,0.037711464,0.07692324,0.029646933,0.07708263,0.07234114,665,85.17164690833627,-70.41016900921144,54.18489828204748,
14206,i06MC00880HRBR,85.13011584114396,-70.4047964309182,19.63065818977356,18.6967124004364,,,20.164568002820012,20.15848488926888,19.470901218414305,18.832127217292783,18.69869229888916,18.93830631256104,20.98983536624909,18.55850351524353,0.03333741,0.021856284,,,0.181808,0.16022703,0.07407869,0.026578214,0.03961638,0.023733856,0.18530028,0.033299364,665,85.17164690833627,-70.41016900921144,53.73697172149686,
14207,i06MC00880HS30,85.12678571230718,-70.40349405929038,18.5327413482666,18.50226130676269,18.93265372300148,18.67969470119476,18.513762216567997,18.605026288032533,18.498963800430296,18.65931821250916,18.478781677246094,18.49783990859985,19.16467855834961,18.422167665481567,0.013975901,0.018422643,0.052622236,0.06747608,0.047631882,0.04572476,0.035205267,0.022725131,0.033227302,0.016286178,0.044007216,0.029595843,665,85.17164690833627,-70.41016900921144,59.2490923542391,
14208,i06MC00880HS4P,85.16075194868127,-70.40368712263378,18.99582358932495,19.19115057182312,19.20448590616882,18.96231821370125,18.93716512203217,18.83161823272705,18.926420417785643,19.11747920894623,19.345278120994568,19.009977083206177,19.455191701292996,19.27036703300476,0.02004462,0.033232454,0.064085744,0.0830861,0.06608428,0.0547757,0.049042214,0.032934923,0.06580999,0.02513442,0.053443708,0.060688253,665,85.17164690833627,-70.41016900921144,26.7862363827871,
14209,i06MC00880HS47,85.15848340843858,-70.40310188189254,18.886625495910643,19.14751377296448,19.21544875844568,18.81932506155968,18.782921414375306,18.84869508266449,18.906842914581297,19.07096219444275,19.32401046848297,18.953260402679444,19.41789893770218,19.31396830749512,0.018539181,0.03210261,0.06480263,0.074537314,0.058953498,0.055838294,0.048283648,0.031835523,0.06517169,0.02406683,0.0525405,0.06328387,665,85.17164690833627,-70.41016900921144,29.996914511335838,
14210,i06MC00880HT1G,85.16104264425319,-70.40148998456111,18.82283803558349,18.460369731903075,19.61705669951439,19.00086674284935,18.894782643318177,18.821861833572388,18.674713102340696,18.611021164894105,18.476899362564087,18.5748543548584,19.77390110456944,18.34173954200745,0.017199466,0.017847339,0.08673006,0.08420128,0.0625836,0.053224806,0.03950995,0.022065008,0.03300417,0.017325522,0.06657662,0.027753772,665,85.17164690833627,-70.41016900921144,33.76562634084709,
