,Unnamed: 0,id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,err_mag_psf_g,err_mag_psf_i,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_j0515,err_mag_psf_j0660,err_mag_psf_j0861,err_mag_psf_r,err_mag_psf_u,err_mag_psf_z,aperture_id,center_ra,center_dec,sep_arcsec,star_id
4945,5040,i06MC00860577X,75.40882484496267,-71.12938980980927,17.596734954833984,18.001052211761476,17.883054010391234,17.50872148704529,17.426829666137696,17.426057342529298,17.586062454223633,17.85714726829529,18.083359477996822,17.74138412475586,18.08828681755066,18.116227592468263,0.008882519,0.012904563,0.019940164,0.023411674,0.01988275,0.018508622,0.016948223,0.011748147,0.025796216,0.009427455,0.01704394,0.020797204,263,75.37168338334693,-71.13354984504083,45.76124863871375,
4970,5065,i06MC0086050WX,75.33752948750916,-71.14384175482162,19.03831616210937,19.40946657562256,19.37819599342346,18.999031738758088,18.925962776184083,18.909647706985474,18.87752702140808,19.29489509963989,19.583774445533752,19.13969423675537,19.63208311843872,19.55808008956909,0.021395447,0.036461424,0.052500166,0.05954297,0.050269656,0.04631561,0.03712403,0.030658066,0.08231177,0.023246484,0.048490424,0.0668094,263,75.37168338334693,-71.13354984504083,54.33875990130119,
4976,5071,i06MC0086058PU,75.34464622358897,-71.1313190422833,17.481174640655517,17.867870162963868,17.753290168762206,17.43800772857666,17.34733971977234,17.366171363830567,17.453650974273682,17.76066627693176,18.003197429656982,17.639443016052248,17.99914854812622,17.965614212036133,0.00820054,0.011643915,0.018325647,0.022061123,0.01868576,0.017602883,0.015466239,0.010887363,0.023949658,0.008728056,0.016030243,0.018345488,263,75.37168338334693,-71.13354984504083,32.484333797526496,
5041,5136,i06MC000604ZCJ,81.55534903839802,-63.401144137023785,18.60721801376343,18.86960051345825,19.09621828389168,18.781787158966065,18.52832604598999,18.5699239654541,18.522486921310424,18.854684862136843,19.017195150375365,18.6900549659729,19.64034540784359,18.946853366851805,0.0068861726,0.0105802445,0.04691215,0.057234116,0.04207877,0.04293322,0.03070222,0.011286343,0.026356038,0.0075703813,0.033222444,0.021254271,270,81.56026606233812,-63.3946941321018,24.535655921091745,
5042,5137,i06MC000604YRL,81.55319833766421,-63.4005260535722,19.18048165893555,19.508789518356323,19.77837121081352,19.43223637160659,19.138642203330992,19.036833612442017,19.085896845817565,19.451254996299745,19.6760516614914,19.26600415802002,20.158239482164383,19.590258565902708,0.010112514,0.017279837,0.07830072,0.093963146,0.06660471,0.06201379,0.045973588,0.017284395,0.045274753,0.011327515,0.050827052,0.03663289,270,81.56026606233812,-63.3946941321018,23.887270887570168,
5066,5161,i06MC006308HLM,73.83025472326548,-69.74763977242826,19.389494827270507,19.541975288391114,20.0446222307533,19.600471089363097,19.37237328529358,19.27155395030975,19.284072917938232,19.52195926761627,19.79254124069213,19.38455100631714,20.528495507359505,19.79763830947876,0.036603484,0.055464,0.101894714,0.10613657,0.079259716,0.06871809,0.059382096,0.0489502,0.10091264,0.04089107,0.11431766,0.09173523,273,73.82144099558866,-69.73448774222167,48.60530837757043,
5069,5164,i06MC006308KZ5,73.83750943848148,-69.74244506443453,16.062804080963136,16.480194286346435,16.153016313552857,15.886216114044188,15.907452121734618,15.919851856231688,16.07059101486206,16.338592372894286,16.598761699676512,16.252495723724365,16.49558146286011,16.602526962280272,0.0041835643,0.006540962,0.008088656,0.010103231,0.008863279,0.008551007,0.007895592,0.005520295,0.00997547,0.0046056104,0.0070725223,0.007808121,273,73.82144099558866,-69.73448774222167,34.95592804542947,
5070,5165,i06MC006308JBC,73.83366269274262,-69.74294164873888,19.14315352630616,19.21475198745728,19.92248716914654,19.41860819864273,19.10301341152191,19.20944436073303,19.12897495651245,19.176563702583312,19.363358711242675,19.126491981506348,20.277480974674223,19.29387408447265,0.030390082,0.04223495,0.09198958,0.091923974,0.0651115,0.06574763,0.053279005,0.037089515,0.07056009,0.03329291,0.09359414,0.059409257,273,73.82144099558866,-69.73448774222167,34.03508474864177,
5079,5174,i06MC006308JAS,73.82522768143363,-69.74225808748639,19.24376425933838,19.51347854614258,19.580073715925217,19.22940732049942,19.055911079406737,19.050135284423828,19.16354255104065,19.399125896453857,19.78746685886383,19.33606000518799,20.187302425384523,19.788346111297606,0.032697804,0.05401168,0.07099013,0.08053668,0.0625944,0.058722146,0.05490002,0.04452757,0.10080654,0.03938143,0.08674781,0.0914925,273,73.82144099558866,-69.73448774222167,28.368804939170367,
5090,5185,i06MC006308KKH,73.81052557255784,-69.7412482450247,18.98818240356445,19.23184755325317,19.26968690919876,18.86927010917664,18.88986620140076,18.88205972290039,18.942972702026367,19.17834976863861,19.47775838279724,19.077510387420656,19.451461747169496,19.364980518341063,0.026788605,0.042937435,0.056280274,0.061387576,0.055424567,0.05228057,0.0464347,0.036982976,0.07756715,0.03176286,0.04798728,0.06299156,273,73.82144099558866,-69.73448774222167,27.88412689181009,
5091,5186,i06MC006308L7N,73.81024751026457,-69.7395544264869,18.01448474121094,18.33605459213257,18.326180059432986,17.9288237323761,17.872431127548218,17.889030128479003,17.965911907196045,18.241238271713257,18.505094980239868,18.11951163482666,18.74232347297669,18.423778831481933,0.013462755,0.021696635,0.028886842,0.032542564,0.027647061,0.026378846,0.023745446,0.018371522,0.035868157,0.015331789,0.028194968,0.028888458,273,73.82144099558866,-69.73448774222167,22.96664232520181,
