cluster_Names,counts_be_stars,counts_all_stars,fraction_be_stars,Names,logAge,[M/H],amaj
B147                                   ,0.0,83,0.0,B147                                   , 8.10,     ,1.2
B148                                   ,4.0,291,0.013745704467353952,B148                                   , 8.30,     ,1.2
B149                                   ,0.0,46,0.0,B149                                   ,     ,     ,0.5
B15                                    ,0.0,130,0.0,B15                                    ,     ,     ,0.6
B150                                   ,0.0,22,0.0,B150                                   ,     ,     ,0.3
"B151,RZ196                             ",0.0,37,0.0,"B151,RZ196                             ", 9.00,     ,0.9
"B155,RZ204                             ",0.0,27,0.0,"B155,RZ204                             ", 8.70,     ,0.55
B156                                   ,0.0,33,0.0,B156                                   , 7.50,     ,0.65
B157                                   ,0.0,24,0.0,B157                                   ,     ,     ,0.35
B159                                   ,0.0,135,0.0,B159                                   ,     ,     ,2.3
B16                                    ,0.0,57,0.0,B16                                    , 9.00,     ,0.3
B160                                   ,0.0,25,0.0,B160                                   ,     ,     ,0.8
B162                                   ,0.0,22,0.0,B162                                   , 7.30,     ,0.55
B163                                   ,4.0,187,0.0213903743315508,B163                                   ,     ,     ,2.0
"B165,OGLS 285                          ",0.0,13,0.0,"B165,OGLS 285                          ",     ,     ,0.45
B166                                   ,1.0,13,0.07692307692307693,B166                                   , 8.30,     ,0.8
B167                                   ,0.0,28,0.0,B167                                   ,     ,     ,1.8
"B168,OGLS 343                          ",0.0,7,0.0,"B168,OGLS 343                          ", 9.60,     ,0.45
B17                                    ,0.0,60,0.0,B17                                    ,     ,     ,0.25
B18                                    ,0.0,73,0.0,B18                                    ,     ,     ,0.35
B19                                    ,4.0,177,0.022598870056497175,B19                                    , 7.80,     ,0.45
"B2,OGLS 331                            ",0.0,29,0.0,"B2,OGLS 331                            ", 9.26,-1.00,0.45
B20                                    ,0.0,150,0.0,B20                                    ,     ,     ,0.3
"B21,SOGLE171                           ",0.0,231,0.0,"B21,SOGLE171                           ",     ,     ,0.35
B22                                    ,0.0,341,0.0,B22                                    ,     ,     ,0.35
"B23,SOGLE170                           ",0.0,41,0.0,"B23,SOGLE170                           ", 7.98,     ,0.6
"B24,RZ30                               ",0.0,167,0.0,"B24,RZ30                               ", 8.75,     ,0.8
B25                                    ,2.0,132,0.015151515151515152,B25                                    ,     ,     ,0.65
"B26,SOGLE169                           ",0.0,104,0.0,"B26,SOGLE169                           ", 8.23,     ,0.9
B27                                    ,1.0,22,0.045454545454545456,B27                                    ,     ,     ,0.4
B28                                    ,0.0,48,0.0,B28                                    , 8.70,     ,0.85
B29                                    ,1.0,69,0.014492753623188406,B29                                    , 8.00,     ,0.5
B3                                     ,0.0,76,0.0,B3                                     ,     ,     ,1.2
"B31,SOGLE19,SOGLE175                   ",0.0,174,0.0,"B31,SOGLE19,SOGLE175                   ", 8.55,     ,0.5
"B33,SOGLE23                            ",0.0,45,0.0,"B33,SOGLE23                            ", 8.40,     ,0.5
"B34,SOGLE176                           ",0.0,8,0.0,"B34,SOGLE176                           ", 9.08,-0.58,0.6
B34A                                   ,0.0,214,0.0,B34A                                   , 9.00,     ,0.75
B36                                    ,0.0,22,0.0,B36                                    , 8.35,     ,0.7
B37                                    ,0.0,38,0.0,B37                                    , 9.00,     ,1.1
B38                                    ,0.0,147,0.0,B38                                    ,     ,     ,0.25
"B39,SOGLE27,RZ42                       ",1.0,168,0.005952380952380952,"B39,SOGLE27,RZ42                       ", 9.08,-0.58,0.55
"B4,OGLS 317                            ",0.0,24,0.0,"B4,OGLS 317                            ", 9.58,-1.19,0.85
"B40,MA126                              ",0.0,64,0.0,"B40,MA126                              ",     ,     ,0.5
"B41,RZ41                               ",0.0,29,0.0,"B41,RZ41                               ", 8.00,     ,0.5
"B42,SOGLE34,VMC3                       ",2.0,70,0.02857142857142857,"B42,SOGLE34,VMC3                       ", 9.00,     ,0.7
B43                                    ,4.0,128,0.03125,B43                                    ,     ,     ,0.5
B44                                    ,0.0,18,0.0,B44                                    ,     ,     ,0.5
B45                                    ,0.0,55,0.0,B45                                    , 8.00,     ,0.65
"B47,SOGLE48                            ",1.0,74,0.013513513513513514,"B47,SOGLE48                            ", 9.11,-0.01,1.0
"B48,SOGLE49                            ",5.0,412,0.012135922330097087,"B48,SOGLE49                            ", 7.70,-0.10,1.3
B49                                    ,0.0,143,0.0,B49                                    , 9.00,     ,0.5
B5                                     ,0.0,68,0.0,B5                                     ,     ,     ,0.3
B50                                    ,0.0,31,0.0,B50                                    , 7.00,     ,0.55
"B52,SOGLE57                            ",0.0,25,0.0,"B52,SOGLE57                            ", 8.50,     ,1.1
"B53,SOGLE197,BMS75                     ",2.0,163,0.012269938650306749,"B53,SOGLE197,BMS75                     ", 8.27,     ,0.95
"B54,SOGLE62,RZ60                       ",0.0,88,0.0,"B54,SOGLE62,RZ60                       ", 8.20,     ,0.65
"B55,SOGLE60,RZ59                       ",0.0,105,0.0,"B55,SOGLE60,RZ59                       ", 8.21,-0.01,0.7
"B56,SOGLE66,RZ66                       ",0.0,23,0.0,"B56,SOGLE66,RZ66                       ", 7.75,     ,0.45
"B57,SOGLE71                            ",0.0,43,0.0,"B57,SOGLE71                            ", 7.30,     ,0.45
"B59,L61-183,SOGLE73,RZ70,MA488         ",0.0,62,0.0,"B59,L61-183,SOGLE73,RZ70,MA488         ", 8.10,     ,0.8
B6                                     ,0.0,24,0.0,B6                                     , 8.11,-0.04,0.6
"B60,SOGLE72                            ",0.0,46,0.0,"B60,SOGLE72                            ", 7.90,     ,0.95
"B61,BMS427,BUS966                      ",1.0,262,0.003816793893129771,"B61,BMS427,BUS966                      ", 6.97,     ,1.8
"B62,BMS17                              ",0.0,432,0.0,"B62,BMS17                              ", 8.20,     ,1.2
"B64,SOGLE210                           ",0.0,5,0.0,"B64,SOGLE210                           ", 8.18,     ,0.7
"B65,SOGLE83,RZ75                       ",0.0,33,0.0,"B65,SOGLE83,RZ75                       ", 7.77,     ,0.75
"B66,SOGLE85,RZ78                       ",0.0,283,0.0,"B66,SOGLE85,RZ78                       ", 8.60,     ,0.6
"B67,SOGLE87,RZ76                       ",0.0,188,0.0,"B67,SOGLE87,RZ76                       ", 8.60,     ,0.65
B68                                    ,0.0,113,0.0,B68                                    ,     ,     ,1.7
"B69,SOGLE89,RZ81                       ",0.0,28,0.0,"B69,SOGLE89,RZ81                       ", 7.50,     ,0.65
B7                                     ,1.0,60,0.016666666666666666,B7                                     ,     ,     ,0.3
B70                                    ,1.0,31,0.03225806451612903,B70                                    ,     ,     ,0.55
"B71,SOGLE92,RZ84                       ",0.0,20,0.0,"B71,SOGLE92,RZ84                       ", 7.40,     ,0.85
B72                                    ,0.0,76,0.0,B72                                    , 7.50,     ,0.9
B74                                    ,2.0,107,0.018691588785046728,B74                                    , 7.80,     ,1.0
B75                                    ,0.0,62,0.0,B75                                    , 7.40,     ,1.2
"B76,SOGLE219                           ",0.0,99,0.0,"B76,SOGLE219                           ", 8.40,     ,0.4
"B78,RZ88                               ",6.0,59,0.1016949152542373,"B78,RZ88                               ", 7.40,     ,1.1
"B79,SOGLE99,RZ90                       ",0.0,3,0.0,"B79,SOGLE99,RZ90                       ", 7.47,     ,0.8
B7A                                    ,0.0,39,0.0,B7A                                    ,     ,     ,0.25
B8                                     ,1.0,92,0.010869565217391304,B8                                     ,     ,     ,0.5
"B80,SOGLE98,RZ89                       ",0.0,186,0.0,"B80,SOGLE98,RZ89                       ", 8.53,     ,0.8
"B81,BMS454                             ",2.0,68,0.029411764705882353,"B81,BMS454                             ", 7.80,     ,0.75
B82                                    ,2.0,53,0.03773584905660377,B82                                    , 8.00,     ,0.65
"B83,SOGLE103,RZ95                      ",0.0,251,0.0,"B83,SOGLE103,RZ95                      ", 8.60,     ,0.55
"B86,SOGLE222                           ",0.0,36,0.0,"B86,SOGLE222                           ", 8.05,     ,0.65
B87                                    ,0.0,87,0.0,B87                                    ,     ,     ,0.5
"B88,RZ100                              ",0.0,9,0.0,"B88,RZ100                              ", 8.10,     ,0.45
"B9,RZ17                                ",0.0,82,0.0,"B9,RZ17                                ",     ,     ,0.45
B90                                    ,0.0,30,0.0,B90                                    , 7.90,     ,0.45
"B91,RZ106                              ",0.0,185,0.0,"B91,RZ106                              ", 8.90,     ,1.4
B92                                    ,0.0,61,0.0,B92                                    , 7.30,     ,0.65
B93                                    ,0.0,112,0.0,B93                                    , 8.30,     ,0.65
"B94,RZ107                              ",0.0,42,0.0,"B94,RZ107                              ", 9.06,     ,0.65
B95                                    ,0.0,35,0.0,B95                                    ,     ,     ,0.25
"B96,SOGLE117,RZ112                     ",2.0,191,0.010471204188481676,"B96,SOGLE117,RZ112                     ", 8.30,     ,1.0
"B97,RZ114w                             ",0.0,73,0.0,"B97,RZ114w                             ",     ,     ,0.6
"B98ne,RZ120                            ",0.0,84,0.0,"B98ne,RZ120                            ", 9.20,     ,0.55
B98sw                                  ,0.0,69,0.0,B98sw                                  ,     ,     ,0.7
"B99,SOGLE122,RZ121                     ",0.0,50,0.0,"B99,SOGLE122,RZ121                     ", 8.23,-0.84,0.75
"BBDS1,OGLB 17                          ",0.0,26,0.0,"BBDS1,OGLB 17                          ",     ,     ,1.2
BBDS2                                  ,1.0,8,0.125,BBDS2                                  ,     ,     ,1.2
BBDS3                                  ,0.0,5,0.0,BBDS3                                  ,     ,     ,0.45
"BBDS4,L61-593,OGLB 61                  ",1.0,5,0.2,"BBDS4,L61-593,OGLB 61                  ", 7.30,-0.70,0.5
BBica 1                                ,1.0,39,0.02564102564102564,BBica 1                                ,     ,     ,0.35
BBica 10                               ,0.0,7,0.0,BBica 10                               ,     ,     ,0.8
BBica 11                               ,1.0,2,0.5,BBica 11                               ,     ,     ,0.5
BBica 12                               ,0.0,7,0.0,BBica 12                               ,     ,     ,0.5
BBica 13                               ,0.0,7,0.0,BBica 13                               ,     ,     ,0.5
BBica 14                               ,0.0,7,0.0,BBica 14                               ,     ,     ,0.35
BBica 15                               ,0.0,18,0.0,BBica 15                               ,     ,     ,1.5
BBica 16                               ,0.0,13,0.0,BBica 16                               ,     ,     ,0.9
BBica 17                               ,0.0,1,0.0,BBica 17                               ,     ,     ,0.9
BBica 18                               ,0.0,5,0.0,BBica 18                               ,     ,     ,0.6
BBica 19                               ,0.0,5,0.0,BBica 19                               ,     ,     ,0.75
BBica 2                                ,0.0,7,0.0,BBica 2                                ,     ,     ,0.3
BBica 3                                ,0.0,5,0.0,BBica 3                                ,     ,     ,0.4
