id,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,ra,dec,ra_deg,dec_deg,Type,Category,Bestar
i06MC003204TC9,16.086407611846923,16.6788911819458,16.11695271110535,15.898832813262938,15.893743656158446,15.943585376739502,16.122586093902587,16.459416816711425,16.839306665420533,16.36614442062378,16.280788564682005,16.863546588897705,82.35701021087282,-67.3840317083455,82.35695833333332,-67.384,B2Ve,Classical,Cl* NGC 2004 MHFBE 59721
i06MC0032051XV,15.907731887817384,16.206969738006592,15.906867650985717,15.725346508026124,15.769033096313475,15.792662528991698,15.917449981689455,15.97296764755249,16.381213260650636,16.061737300872803,15.96899959182739,16.4080265083313,82.3258753145013,-67.36033641232221,82.32583333333334,-67.36030555555556,B1Ve,Classical,Cl* NGC 2004 MHFBE 66252
i06MC003205HO7,14.600570007324219,15.025728775024415,14.47416453933716,14.357975093841553,14.422284816741943,14.46947040939331,14.627301578521728,14.679656124114992,15.23553870010376,14.815192939758301,14.432042339324951,15.271530109405518,82.30676844667282,-67.32188882675325,82.30670833333332,-67.3218611111111,B1IIIe,Classical,Cl* NGC 2004 MHFBE 77796
i06MC003207HPZ,16.019138401031494,16.54250834274292,16.099836507797242,15.849869535446167,15.851347618103027,15.887598217010499,16.01387448120117,16.329456953048705,16.648567096710206,16.263642841339113,16.441612909317016,16.686370330810547,82.2792754070269,-67.13037708500431,82.27920833333333,-67.13035555555555,B5IIIe,Classical,Cl* NGC 2004 MHFBE 137325
i06MC003205D0G,15.837719650268554,16.277843879699706,15.854420850753783,15.664674028396607,15.672425743103027,15.710759735107423,15.85098652267456,15.943673156738281,16.425248001098634,16.037799785614013,15.948803714752199,16.449707538604738,82.23337673552425,-67.3374038484128,82.23329166666666,-67.337375,B1Ve,Classical,Cl* NGC 2004 MHFBE 73013
i06MC0032084ZC,14.479856224060057,14.71804824066162,14.411573993682861,14.321004623413085,14.371585021972656,14.37662912750244,14.446669456481935,14.34817583847046,14.874915756225587,14.565363937377931,14.391178142547606,14.906217533111572,82.19902998326481,-67.07383157488702,82.19899999999998,-67.07380555555555,B1IIIe,Classical,Cl* NGC 2004 MHFBE 155603
i06MC003206I4H,16.099014751434325,16.69097742843628,16.054309587478638,15.804262384414674,15.871701103210448,15.916569496154786,16.08512598800659,16.47738437271118,16.9169906539917,16.40096194076538,16.137007074356077,16.946361167907714,82.14449485915897,-67.22341589649199,82.14437499999998,-67.223325,B2.5IIIe,Classical,Cl* NGC 2004 MHFBE 107771
i06MC003206IH9,14.9262227935791,15.442940567016603,14.882853012084961,14.696732982635499,14.724764209747313,14.769433284759522,14.946572845458984,14.949387355804443,15.624773876190186,15.159823959350586,14.91025550842285,15.656641109466552,82.14282539671642,-67.22390999080969,82.14274999999999,-67.22386111111112,B2IIIe,Classical,Cl* NGC 2004 MHFBE 107877
i06MC003206JNR,16.040734760284423,16.66498448562622,16.008900861740113,15.794717058181764,15.816798404693603,15.84772455596924,16.033549777984618,16.45955686187744,16.842703716278077,16.346512859344482,16.094960216522217,16.870887382507323,82.13392512256446,-67.22319139137905,82.13387499999999,-67.22324444444445,B2IVe,Classical,Cl* NGC 2004 MHFBE 108272
i06MC003205BX3,14.462957229614258,15.102314659118651,14.343857395172119,14.19559437942505,14.23844345474243,14.295361625671386,14.487964279174804,14.869949768066405,15.283706634521483,14.779650348663331,14.461832607269287,15.310791999816896,82.12273411960298,-67.33894865908717,82.12262499999999,-67.33891666666666,B1.5IIIe,Classical,Cl* NGC 2004 MHFBE 72704
