id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,OGLE-II,OGLE-III,OGLE-IV,ura,udec
i06MC00880G4JT,83.15137938003869,-70.55537711578198,17.389557235717774,17.69034726715088,17.329952393531798,17.155806203842165,17.171524269104005,17.203451597213746,17.323330194473268,17.473185947418212,17.80839604949951,17.453282524108886,17.303553915023805,17.734044200897216,LMC_SC1_791,LMC170.7.36396,LMC515.30.24502,83.15162,-70.55542
i06MC006508G25,83.13266772201553,-69.6502550013126,16.73996636199951,16.16526580810547,17.743103603363036,17.541542133331298,17.093390007019043,17.05147381591797,16.536211204528808,16.254320571899413,16.138718284606934,16.28076272583008,17.910297508239747,16.116890724182127,LMC_SC1_90119,LMC169.4.43,LMC516.21.83422,83.13254,-69.65039
i06MC006508GYI,83.27484901970911,-69.64696673303219,15.829482711791993,16.389093315124512,15.689125679016112,15.584817260742188,15.590311141967774,15.656380592346192,15.829626968383788,16.194030380249025,16.58073217010498,16.092092712402344,15.665763565063475,16.57676638031006,LMC_SC1_90123,LMC169.4.203,LMC516.21.36604,83.27483,-69.64697
i06MC006508HDO,83.26903050752249,-69.64643747859327,15.561007179260255,15.730080520629883,15.461246631622313,15.388096183776856,15.414710136413575,15.44049161529541,15.530518463134765,15.360924339294435,15.903125587463379,15.6092845993042,15.3137313079834,15.90185488128662,LMC_SC1_90124,LMC169.4.82,LMC516.21.36533,83.26908,-69.6465
i06MC00880GN12,83.4051123195251,-70.51781029987292,16.98792540359497,17.424511100769042,16.87035432434082,16.70123853302002,16.728882108688353,16.79597328567505,16.97612741661072,17.095522645950318,17.576767921447754,17.158446697235107,16.788230598449708,17.55525839996338,LMC_SC1_94988,LMC170.2.12201,LMC516.04.180,83.40508,-70.51781
i06MC00650AA8L,82.63932998147602,-69.49466987871311,14.394062004089356,14.64936915588379,14.3192599067688,14.192123962402345,14.260861053466797,14.274208724975587,14.390781623840333,14.293029525756836,14.804831993103026,14.49624249267578,14.236567794799804,14.801485427856445,LMC_SC2_103589,LMC168.8.27444,LMC516.30.47287,82.63942,-69.49469
i06MC00650AKF0,82.50512504722505,-69.469408272061,15.463190734863282,15.458553634643554,15.46549086380005,15.332870223999024,15.384274688720701,15.377911384582518,15.452766639709473,15.186930946350099,15.472191345214842,15.439830345153808,15.341640426635742,15.472241622924805,LMC_SC2_103618,LMC168.8.64491,LMC516.31.9910,82.50529,-69.46942
i06MC00650ACAS,82.65120751596625,-69.4872372142115,15.391709144592284,15.691621696472168,15.31981685256958,15.190965248107911,15.260375633239747,15.27337998199463,15.422254783630372,15.420311668395996,15.844441902160643,15.54602579498291,15.16645761871338,15.860573181152343,LMC_SC2_103644,LMC168.8.27476,LMC516.30.47320,82.65121,-69.48731
i06MC00650A283,82.6234309046469,-69.51009132316577,17.007946411132814,17.440667068481446,17.079642320632935,16.824162078857423,16.87465919494629,16.886991203308106,17.01193490600586,17.029926445007323,17.519519744873048,17.19183632659912,17.32902978515625,17.525450523376463,LMC_SC2_103695,LMC168.8.27665,LMC516.30.47509,82.62362,-69.51008
i06MC00650AG4U,82.52139228023304,-69.47738018890232,16.29906925201416,16.922228729248047,16.232189224243164,16.03820393371582,16.071602073669432,16.108609565734863,16.336433631896973,16.737406066894533,17.083919059753416,16.610772651672363,16.264771675109863,17.093065483093262,LMC_SC2_103770,LMC168.8.64812,LMC516.31.10182,82.52142,-69.47742
i06MC00650AJ4L,82.58979217199668,-69.47142856178993,16.558392341613768,16.76665965270996,16.527155755996706,16.37294211578369,16.421243324279786,16.43360284423828,16.56847554016113,16.580746940612794,16.91340454864502,16.662237281799317,16.44485425567627,16.920694717407226,LMC_SC2_103787,LMC168.8.77202,LMC516.30.47643,82.58983,-69.47144
i06MC00650A35O,82.6005348227654,-69.50842759067989,18.396737091064452,17.669015800476075,19.581406486034393,18.897908760070802,18.650252952575684,18.56966077041626,18.4032975730896,17.851101066589354,17.464635787963868,17.979700057983397,19.89069069671631,17.41433029937744,LMC_SC2_104376,LMC168.8.28797,LMC516.30.48838,82.60133,-69.50839
i06MC00650ATML,82.50359868235822,-69.44817944167397,15.816275268554687,16.48326333618164,15.685871574401855,15.512387565612794,15.564136711120604,15.631900054931641,15.859796340942381,16.30446272277832,16.708746040344238,16.162357444763185,15.661498458862305,16.694547470092772,LMC_SC2_109026,LMC168.8.64577,LMC516.31.21057,82.50367,-69.44822
i06MC00650ARFC,82.61799464395226,-69.4533589639003,16.5893987197876,17.05543645477295,16.606999992370607,16.361672546386718,16.41683162689209,16.455531631469725,16.63932932281494,16.684049896240236,17.15270964050293,16.828857131958006,16.875498985290527,17.126409492492677,LMC_SC2_109092,LMC168.8.77244,LMC516.30.47699,82.61808,-69.45339
i06MC006501GWE,82.64878800265191,-70.30577120689632,14.26078736114502,13.876546485900878,15.18883666229248,15.0457798538208,14.63888744354248,14.562682380676268,14.191591369628906,13.971916542053222,13.880317428588867,13.996149902343749,15.529573616027832,13.846598731994629,LMC_SC2_114092,LMC170.6.77110,LMC516.05.79000,82.64879,-70.30578
i06MC006501EMW,82.67936560234277,-70.31021702088545,15.024716583251951,15.60421524810791,15.017093269348145,14.898873954772949,14.897718467712401,14.940899124145506,15.115249740600586,15.356730804443359,15.747571685791016,15.366602378845215,15.149947341918946,15.757408248901367,LMC_SC2_114166,LMC170.6.77160,LMC516.05.79030,82.67929,-70.31014
i06MC00650238S,82.75939349164226,-70.25354434837107,16.649986907958983,17.336567680358886,16.73619708251953,16.55077996826172,16.530821838378905,16.57281135559082,16.737264739990234,17.162210662841797,17.52577660369873,17.034009300231933,16.932497200012207,17.539286026000976,LMC_SC2_120649,LMC170.5.36479,LMC516.05.79445,82.75933,-70.25347
i06MC00650369S,82.79693460784728,-70.16355524378973,16.66083984375,17.275370285034178,16.71192893218994,16.527115493774414,16.49512008666992,16.53776668548584,16.68276118469238,17.090858108520507,17.428806449890136,16.99722663116455,16.87289923095703,17.407956634521483,LMC_SC2_128223,LMC170.5.111041,LMC516.13.539,82.79688,-70.16342
i06MC006503D83,82.81526213940208,-70.15947799750488,14.361972763061523,14.801128219604493,14.315915195465088,14.22409024810791,14.234288253784179,14.272243728637694,14.426832191467284,14.265289909362792,14.988482215881348,14.59833041381836,14.370754417419434,14.98420997619629,LMC_SC2_135399,LMC170.5.110608,LMC516.13.21,82.81512,-70.15944
i06MC0065058KT,82.68010894872921,-69.97767953713516,17.4229146194458,17.956718505859374,17.586508838653565,17.30354467010498,17.218746223449706,17.3055517578125,17.45875922393799,17.641760879516603,18.090115112304687,17.674081283569336,18.45397013092041,18.042888229370117,LMC_SC2_159028,LMC169.7.42064,LMC516.13.106745,82.68012,-69.97775
i06MC006505NS1,82.69973486514084,-69.93352602024017,16.712194038391115,16.792473304748537,16.794301120758057,16.64521375274658,16.603544273376464,16.595401039123534,16.708755462646483,16.752111602783202,16.778864944458007,16.77442099761963,16.945301231384278,16.75986164855957,LMC_SC2_159394,LMC169.7.41342,LMC516.13.107287,82.7,-69.93358
i06MC0065064I9,82.71551827670791,-69.88466780525754,16.17525008392334,16.51863948059082,16.00949391555786,15.966396003723144,15.966105499267577,15.979244461059569,16.153815841674806,16.225124237060548,16.678465087890626,16.330378616333007,16.00085276031494,16.70730436706543,LMC_SC2_166090,LMC169.7.124501,LMC516.22.47846,82.7155,-69.88469
i06MC00650660V,82.70561154971767,-69.87943967683424,17.47024348449707,17.21027938079834,17.666867582321167,17.57092919921875,17.479193725585937,17.446999778747557,17.36676695251465,17.164939208984375,17.183263023376465,17.276267135620117,17.883666213989258,17.132441886901855,LMC_SC2_166264,LMC169.7.124748,LMC516.22.48081,82.70562,-69.87947
