ra,dec,OGLE-II,OGLE-III,OGLE-IV,Offset,RemOut
12.97842,-73.27114,SMC_SC6_17283,SMC100.2.8864,SMC720.26.36329,A,6.0
13.01579,-73.23656,SMC_SC6_17300,SMC100.2.8880,SMC720.26.36607,A,9.0
12.899,-73.24175,SMC_SC6_17357,SMC100.2.8973,SMC720.27.43453,13,
12.90496,-73.24144,SMC_SC6_17502,SMC100.2.9292,2,,
12.93375,-73.24125,SMC_SC6_17503,SMC100.2.8992,SMC720.26.37125,16,
12.99062,-73.23928,SMC_SC6_17511,SMC100.2.9031,SMC720.26.37134,A,8.0
12.87779,-73.232,SMC_SC6_17538,SMC100.2.9240,SMC720.27.44122,A,16.0
13.26154,-73.29975,SMC_SC6_185188,SMC100.1.43691,SMC720.26.56,A,12.0
13.25333,-73.27739,SMC_SC6_185243,SMC100.2.17590,SMC720.26.645,M,14.0
13.37146,-73.31319,SMC_SC6_185293,SMC100.1.50403,SMC720.26.1304,A,12.0
13.4255,-73.27853,SMC_SC6_186365,SMC100.2.26797,SMC720.26.8141,3,
13.43558,-73.21025,SMC_SC6_194807,SMC100.2.57783,SMC726.16.35084,3,
13.44596,-73.10239,SMC_SC6_199611,SMC100.3.29080,SMC719.03.372,A,17.0
13.43367,-73.13403,SMC_SC6_199636,SMC100.3.29179,SMC719.03.713,9,
13.45183,-73.132,SMC_SC6_199980,SMC100.3.29485,SMC719.03.1817,0,
13.29283,-73.05706,SMC_SC6_205007,SMC100.3.56040,SMC719.03.489,4,
13.45029,-73.06339,SMC_SC6_205108,SMC100.3.29196,SMC719.03.477,8,
13.32642,-73.03964,SMC_SC6_205178,SMC100.3.65544,SMC719.03.1273,6,
13.42379,-73.02522,SMC_SC6_210439,SMC100.3.65483,SMC719.03.577,M,7.0
13.25812,-73.01475,SMC_SC6_210486,SMC100.3.56188,SMC719.03.598,M,10.0
13.3085,-72.99961,SMC_SC6_210510,SMC100.3.65536,SMC719.03.1514,4,
13.42575,-72.88592,SMC_SC6_221457,SMC100.4.62974,SMC719.03.43645,5,
13.42246,-72.8815,SMC_SC6_221533,SMC100.4.63090,SMC719.03.43970,15,
13.29312,-72.87997,SMC_SC6_224011,SMC100.4.66069,10,,
13.25537,-72.85914,SMC_SC6_227292,SMC100.4.54025,SMC719.03.44025,13,
13.30083,-72.81192,SMC_SC6_227334,SMC101.1.24728,SMC719.11.627,14,
13.42675,-72.85464,SMC_SC6_227358,SMC100.4.63389,SMC719.03.44939,13,
12.96675,-73.176,SMC_SC6_22749,SMC100.2.40390,SMC720.26.36274,4,
13.01896,-73.2095,SMC_SC6_22754,SMC100.2.40486,SMC720.26.36404,M,12.0
13.32625,-72.80939,SMC_SC6_228553,SMC101.1.25451,SMC719.11.4160,A,9.0
12.99667,-73.16567,SMC_SC6_22856,SMC100.2.40480,SMC720.26.36809,3,
13.43258,-72.75603,SMC_SC6_232233,SMC101.1.54018,SMC719.11.149,A,7.0
13.41479,-72.76367,SMC_SC6_232272,SMC101.1.54164,SMC719.11.885,11,
13.28279,-72.79103,SMC_SC6_232316,SMC101.1.24718,SMC719.11.309,6,
13.32162,-72.76311,SMC_SC6_234382,SMC101.1.59788,SMC719.11.11458,20,
13.39454,-72.72617,SMC_SC6_237347,SMC101.1.54014,SMC719.11.176,9,
13.42129,-72.69511,SMC_SC6_237406,SMC101.2.22036,SMC719.11.506,7,
13.39929,-72.68933,SMC_SC6_237414,SMC101.2.22030,SMC719.11.215,15,
13.31992,-72.70553,SMC_SC6_238335,SMC101.1.55985,SMC719.11.13574,13,
13.41533,-72.67836,SMC_SC6_241950,SMC101.2.21977,SMC719.11.221,6,
13.29679,-72.65939,SMC_SC6_241956,SMC101.2.21960,SMC719.11.36458,9,
13.28075,-72.62508,SMC_SC6_241971,SMC101.2.21996,SMC719.11.36673,10,
13.41217,-72.67417,SMC_SC6_241981,SMC101.2.22032,SMC719.11.557,9,
13.395,-72.65644,SMC_SC6_242000,SMC101.2.22028,SMC719.11.36611,17,
13.39546,-72.546,SMC_SC6_250971,SMC101.3.17993,SMC719.11.36434,A,16.0
13.44992,-72.56142,SMC_SC6_250983,SMC101.2.48112,SMC719.11.36538,11,
13.27633,-72.51911,SMC_SC6_251156,SMC101.3.18068,SMC719.20.490,A,16.0
13.4695,-73.31092,SMC_SC6_263498,SMC100.1.50359,SMC726.16.181,A,5.0
13.56542,-73.29425,SMC_SC6_263507,SMC106.6.59,SMC726.16.526,3,
13.55787,-73.30269,SMC_SC6_263542,SMC106.6.151,SMC726.16.500,A,15.0
13.49021,-73.26842,SMC_SC6_267893,SMC100.2.24919,SMC726.16.35687,A,15.0
13.60525,-73.21589,SMC_SC6_267939,SMC106.6.26436,SMC726.16.35450,3,
