OGLE,Ori,DC,DDC,Nou,Mass,Group
lmc_sc3_421534,P,0.442,0.693,0.259,11.7,2
lmc_sc3_421612,P,0.774,0.941,0.207,12.6,3
lmc_sc3_421628,P,0.718,1.0,0.325,0.0,1
lmc_sc3_427857,P,0.345,0.919,0.518,8.4,3
lmc_sc3_427859,P,0.77,1.0,0.362,0.0,1
lmc_sc3_429182,P,0.092,0.915,0.052,5.3,3
lmc_sc3_433751,P,0.488,0.943,0.673,12.6,3
lmc_sc3_433785,P,0.348,1.0,0.518,0.0,1
lmc_sc3_433797,P,0.758,1.0,0.259,0.0,1
lmc_sc3_439485,P,0.601,1.0,0.155,0.0,1
lmc_sc3_439496,P,0.594,0.913,0.569,10.3,3
lmc_sc3_439549,P,0.468,1.0,0.207,0.0,1
lmc_sc3_439630,P,0.323,0.796,0.052,4.9,2
lmc_sc3_44498,P,0.951,1.0,0.155,0.0,1
lmc_sc3_44676,P,0.793,1.0,0.155,0.0,1
lmc_sc3_45149,P,0.12,0.972,0.052,3.7,3
lmc_sc3_45214,P,0.071,0.171,0.104,4.0,2
lmc_sc3_45570,P,0.73,1.0,0.09,0.0,1
lmc_sc3_53321,P,0.35,0.735,0.052,8.6,2
lmc_sc3_53517,P,0.319,0.487,0.725,5.7,3
lmc_sc3_79913,P,0.411,0.914,0.518,16.4,3
lmc_sc3_95239,P,0.741,1.0,0.134,0.0,1
lmc_sc4_105856,P,0.263,1.0,0.88,0.0,1
lmc_sc4_113153,P,0.002,0.04,0.052,7.6,3
lmc_sc4_125720,P,0.058,0.222,0.0,3.9,2
lmc_sc4_138406,P,0.127,0.886,0.414,6.6,3
lmc_sc4_152445,P,0.423,0.945,0.362,5.9,3
lmc_sc4_168020,P,0.411,0.921,0.259,8.2,3
lmc_sc4_168257,P,0.16,0.515,0.155,5.4,3
lmc_sc4_168268,P,0.624,1.0,0.155,0.0,1
lmc_sc4_176351,P,0.334,0.812,0.155,8.6,3
lmc_sc4_176355,P,0.526,1.0,0.314,0.0,1
