OGLE,Ori,DC,DDC,Nou,Mass,Group
lmc_sc13_223974,P,0.367,0.898,0.754,6.0,3
lmc_sc13_228884,P,0.521,1.0,0.054,0.0,1
lmc_sc13_233419,P,0.289,0.892,0.862,7.0,2
lmc_sc13_238078,P,0.126,0.646,1.346,12.2,3
lmc_sc13_242802,P,0.221,0.605,0.054,6.0,2
lmc_sc13_247796,P,0.828,1.0,0.431,0.0,1
lmc_sc13_257447,P,0.746,1.0,0.269,0.0,1
lmc_sc13_25752,P,0.279,0.883,0.216,11.0,3
lmc_sc13_264415,P,0.072,0.207,0.108,7.5,3
lmc_sc13_270418,P,0.644,1.0,0.592,0.0,1
lmc_sc13_40237,P,0.365,0.92,0.7,9.3,3
lmc_sc13_53724,P,0.445,1.0,0.173,0.0,1
lmc_sc13_5459,P,0.579,1.0,0.323,0.0,1
lmc_sc13_69080,P,0.121,0.882,0.054,6.3,2
lmc_sc13_74173,P,0.635,1.0,0.754,0.0,1
lmc_sc13_74241,P,0.232,0.515,0.7,6.8,3
lmc_sc13_74264,P,0.919,1.0,0.108,0.0,1
lmc_sc13_74340,P,0.066,0.321,0.054,5.7,3
lmc_sc13_79285,P,0.37,0.953,0.161,8.6,2
lmc_sc13_97919,P,0.48,1.0,0.969,0.0,1
lmc_sc14_100833,P,0.621,0.992,0.7,15.0,3
lmc_sc14_100852,P,0.446,0.943,1.13,11.1,3
lmc_sc14_100868,E,0.061,0.538,0.055,5.5,3
lmc_sc14_100973,P,0.71,0.905,0.418,6.1,2
lmc_sc14_105487,P,0.424,0.952,0.0,8.9,2
lmc_sc14_109694,P,0.442,0.952,1.251,15.6,3
lmc_sc14_109703,P,0.618,1.0,0.593,0.0,1
lmc_sc14_109720,P,0.439,0.746,0.861,8.6,3
lmc_sc14_120978,E,0.653,1.0,0.269,0.0,1
lmc_sc14_124055,P,0.184,0.48,0.556,8.2,3
lmc_sc14_139513,P,0.689,1.0,0.431,0.0,1
lmc_sc14_152841,P,0.104,0.982,0.161,12.3,3
lmc_sc14_156633,P,0.493,1.0,0.646,0.0,1
lmc_sc14_156636,P,0.699,1.0,0.7,0.0,1
lmc_sc14_156668,E,0.549,0.909,0.323,10.8,3
lmc_sc14_156722,P,0.569,1.0,0.431,0.0,1
lmc_sc14_15842,P,0.358,0.989,0.754,9.2,3
lmc_sc14_15919,P,0.488,0.945,0.881,5.4,3
lmc_sc14_165082,P,0.32,0.961,0.807,11.7,3
lmc_sc14_165132,E,0.56,0.969,0.221,16.9,3
lmc_sc14_165167,P,0.098,0.722,0.054,7.2,2
lmc_sc14_170011,P,0.796,1.0,0.602,0.0,1
lmc_sc14_174833,P,0.435,0.777,0.054,4.4,2
lmc_sc14_178705,P,0.837,1.0,0.161,0.0,1
lmc_sc14_178740,P,0.319,0.668,0.377,7.6,3
lmc_sc14_178752,P,0.351,0.831,0.377,6.0,3
lmc_sc14_182587,P,0.061,0.19,0.054,4.5,3
lmc_sc14_189359,P,0.639,1.0,0.431,0.0,1
lmc_sc14_189804,P,0.411,0.926,0.054,4.7,3
lmc_sc14_19963,P,0.638,0.988,0.969,8.2,3
lmc_sc14_206484,E,0.177,0.939,0.215,7.2,3
lmc_sc14_211254,P,0.713,1.0,0.915,0.0,1
lmc_sc14_211723,P,0.462,0.843,0.055,4.5,2
lmc_sc14_225493,P,0.506,1.0,0.538,0.0,1
lmc_sc14_225509,P,0.668,1.0,0.331,0.0,1
lmc_sc14_230044,P,0.508,0.886,0.323,10.0,3
lmc_sc14_230121,P,0.517,1.0,0.269,0.0,1
lmc_sc14_234674,P,0.195,0.619,0.215,6.0,3
lmc_sc14_244357,P,0.261,0.617,0.323,5.2,2
lmc_sc14_248642,P,0.185,0.977,1.346,0.0,1
lmc_sc14_252906,P,0.775,1.0,0.215,0.0,1
lmc_sc14_28749,P,0.576,1.0,0.377,0.0,1
lmc_sc14_28777,P,0.533,0.963,1.112,12.4,3
lmc_sc14_28799,P,0.791,1.0,0.556,0.0,1
lmc_sc14_28802,E,0.429,1.0,0.463,0.0,1
lmc_sc14_32886,P,0.538,0.791,0.417,0.0,1
lmc_sc14_33044,P,0.075,0.151,0.269,5.3,2
lmc_sc14_37463,P,0.506,1.0,0.863,0.0,1
lmc_sc14_37568,P,0.375,1.0,0.431,0.0,1
lmc_sc14_37578,P,0.645,1.0,0.646,0.0,1
lmc_sc14_46349,P,0.334,0.559,0.324,8.2,3
lmc_sc14_46379,P,0.255,0.612,0.215,7.4,3
lmc_sc14_46386,P,0.635,0.947,0.377,8.9,3
lmc_sc14_50643,P,0.271,0.593,0.592,6.9,3
lmc_sc14_55014,P,0.129,0.898,0.046,3.5,3
lmc_sc14_71381,E,0.698,1.0,0.927,0.0,1
lmc_sc14_71391,P,0.275,0.971,0.861,17.1,3
lmc_sc14_7258,P,0.628,1.0,0.556,0.0,1
lmc_sc14_80229,P,0.091,0.878,0.215,4.7,3
lmc_sc14_84260,P,0.444,0.959,0.7,12.9,3
lmc_sc14_84316,P,0.629,1.0,0.592,0.0,1
lmc_sc14_84318,P,0.089,0.576,0.592,5.4,2
lmc_sc14_88508,P,0.291,0.437,0.915,7.2,3
lmc_sc14_88833,P,0.25,0.673,0.054,3.9,3
lmc_sc14_88855,P,0.365,0.942,0.232,3.8,3
lmc_sc14_96622,P,0.571,0.899,0.7,10.3,3
lmc_sc14_96638,P,0.414,0.978,0.7,9.8,3
lmc_sc14_96662,P,0.31,1.0,0.807,0.0,1
lmc_sc14_96672,E,0.603,1.0,0.969,0.0,1
lmc_sc14_96677,P,0.585,1.0,1.184,0.0,1
lmc_sc14_96680,P,0.799,1.0,0.431,0.0,1
lmc_sc14_96778,P,0.258,0.665,0.161,5.9,3
lmc_sc15_115530,P,0.626,0.926,0.7,11.4,3
lmc_sc15_122060,P,0.888,1.0,0.161,0.0,1
lmc_sc15_122143,P,0.786,1.0,0.269,0.0,1
lmc_sc15_12796,P,0.3,0.92,1.884,0.0,1
lmc_sc15_12808,P,0.616,1.0,0.484,0.0,1
lmc_sc15_137594,P,0.493,1.0,0.108,0.0,1
lmc_sc15_141373,P,0.201,0.522,1.453,5.8,3
lmc_sc15_155782,P,0.269,0.906,0.215,6.7,2
lmc_sc15_164998,P,0.678,1.0,0.484,0.0,1
lmc_sc15_165039,P,0.712,1.0,0.861,0.0,1
lmc_sc15_167847,P,0.198,0.446,0.324,6.3,3
lmc_sc15_177624,P,0.716,1.0,0.7,0.0,1
lmc_sc15_185371,P,0.734,1.0,0.269,0.0,1
lmc_sc15_185406,P,0.573,1.0,0.232,0.0,1
lmc_sc15_185610,P,0.501,0.883,0.538,4.7,3
lmc_sc15_189588,P,0.912,1.0,0.054,0.0,1
lmc_sc15_193132,E,0.707,1.0,0.646,0.0,1
lmc_sc15_193177,P,0.225,0.528,0.108,5.5,2
lmc_sc15_196965,P,0.283,0.621,0.484,11.7,3
lmc_sc15_197045,E,0.637,1.0,0.323,0.0,1
lmc_sc15_204776,P,0.547,1.0,0.269,0.0,1
lmc_sc15_214970,P,0.918,1.0,0.054,0.0,1
lmc_sc15_217968,P,0.276,1.0,0.111,0.0,1
lmc_sc15_220855,P,0.343,1.0,1.238,0.0,1
lmc_sc15_24213,P,0.127,0.767,0.162,7.9,3
lmc_sc15_294,P,0.588,1.0,0.161,0.0,1
lmc_sc15_3026,P,0.49,1.0,0.484,0.0,1
lmc_sc15_3075,P,0.244,0.31,0.215,6.2,3
lmc_sc15_31595,P,0.637,1.0,0.324,0.0,1
lmc_sc15_31714,P,0.491,0.853,0.162,3.4,2
lmc_sc15_35195,E,0.413,1.0,0.232,0.0,1
lmc_sc15_35273,P,0.671,1.0,0.754,0.0,1
lmc_sc15_399,P,0.664,1.0,0.788,0.0,1
lmc_sc15_42478,P,0.786,1.0,0.484,0.0,1
lmc_sc15_56164,E,0.613,1.0,0.754,0.0,1
lmc_sc15_62056,P,0.773,1.0,0.377,0.0,1
lmc_sc15_65669,P,0.636,1.0,1.292,0.0,1
lmc_sc15_65686,P,0.247,0.859,0.323,11.1,3
lmc_sc15_81795,P,0.031,0.074,0.054,4.2,3
lmc_sc15_85532,P,0.602,1.0,1.13,0.0,1
lmc_sc15_85762,P,0.174,0.897,0.054,3.8,3
lmc_sc15_92804,P,0.356,0.716,0.046,3.7,3
lmc_sc15_9370,P,0.443,0.989,1.184,8.3,3
lmc_sc16_110259,P,0.028,0.067,0.046,4.0,3
lmc_sc16_120178,P,0.956,1.0,0.086,0.0,1
lmc_sc16_123634,E,0.637,0.968,0.974,20.0,3
lmc_sc16_127796,P,0.389,1.0,0.861,0.0,1
lmc_sc16_140763,P,0.51,1.0,0.649,0.0,1
lmc_sc16_140773,P,0.333,0.719,0.556,9.4,3
lmc_sc16_140816,P,0.087,0.652,0.215,5.5,3
lmc_sc16_154952,P,0.045,0.243,0.054,7.9,3
lmc_sc16_162874,P,0.13,0.702,0.215,9.5,3
lmc_sc16_16451,P,0.468,0.981,0.108,0.0,1
lmc_sc16_172834,P,0.894,1.0,0.484,0.0,1
lmc_sc16_172953,P,0.292,0.722,0.232,5.1,3
lmc_sc16_187648,P,0.265,0.641,1.238,4.3,3
lmc_sc16_204810,P,0.728,1.0,0.108,0.0,1
lmc_sc16_204826,P,0.122,0.788,0.807,7.6,3
lmc_sc16_204899,P,0.256,0.599,0.431,6.1,3
lmc_sc16_21264,P,0.258,0.591,0.592,4.2,3
lmc_sc16_235501,P,0.259,1.0,0.108,0.0,1
lmc_sc16_240570,P,0.367,1.0,0.432,0.0,1
lmc_sc16_240611,P,0.325,1.0,0.695,0.0,1
lmc_sc16_250138,P,0.489,0.933,0.323,13.0,3
lmc_sc16_262,P,0.715,1.0,0.108,0.0,1
lmc_sc16_264064,P,0.442,1.0,0.538,0.0,1
lmc_sc16_264090,P,0.799,1.0,0.324,0.0,1
lmc_sc16_264092,P,0.649,1.0,0.861,0.0,1
lmc_sc16_37120,P,0.088,0.793,0.108,9.7,3
lmc_sc16_43056,P,0.398,0.977,1.776,14.4,2
lmc_sc16_48130,P,0.924,1.0,0.269,0.0,1
lmc_sc16_57511,P,0.31,0.913,0.592,6.1,3
lmc_sc16_66495,P,0.397,0.791,0.484,5.0,2
lmc_sc16_70655,P,0.753,1.0,0.538,0.0,1
lmc_sc16_70704,P,0.638,1.0,0.484,0.0,1
lmc_sc16_70941,P,0.04,0.186,0.108,4.5,3
lmc_sc16_85476,E,0.66,1.0,0.556,0.0,1
lmc_sc17_102975,P,0.55,1.0,0.7,0.0,1
lmc_sc17_117860,P,0.64,1.0,0.463,0.0,1
lmc_sc17_130287,P,0.29,0.983,0.269,11.7,3
lmc_sc17_137232,P,0.694,1.0,0.215,0.0,1
lmc_sc17_143410,P,0.433,1.0,0.161,0.0,1
lmc_sc17_154013,P,0.525,1.0,0.377,0.0,1
lmc_sc17_161706,P,0.408,0.91,0.431,0.0,1
lmc_sc17_168298,P,0.396,0.816,0.807,8.0,3
lmc_sc17_171538,P,0.443,0.702,0.278,5.9,2
lmc_sc17_175262,P,0.485,0.801,0.215,3.3,3
lmc_sc17_182649,P,0.493,1.0,0.161,0.0,1
lmc_sc17_189164,P,0.832,1.0,0.484,0.0,1
lmc_sc17_194647,P,0.105,0.324,0.51,5.5,3
lmc_sc17_204010,P,0.222,0.583,0.377,5.0,3
lmc_sc17_207548,P,0.838,1.0,0.161,0.0,1
lmc_sc17_207689,P,0.227,0.54,0.592,4.9,2
lmc_sc17_207707,P,0.893,1.0,0.323,0.0,1
lmc_sc17_211578,P,0.613,0.882,0.161,4.5,2
lmc_sc17_221191,P,0.431,1.0,0.323,0.0,1
lmc_sc17_29015,P,0.137,1.0,0.484,0.0,1
lmc_sc17_3540,P,0.401,1.0,1.615,0.0,1
lmc_sc17_3545,P,0.509,1.0,0.215,0.0,1
lmc_sc17_76777,P,0.174,0.96,0.538,7.6,3
lmc_sc17_80474,P,0.635,1.0,0.323,0.0,1
lmc_sc17_91213,P,0.424,0.747,0.161,5.4,3
lmc_sc17_99118,P,0.419,1.0,0.323,0.0,1
lmc_sc18_116501,P,0.652,0.964,0.695,10.2,3
lmc_sc18_116576,P,0.513,1.0,0.161,0.0,1
lmc_sc18_122049,P,0.184,0.755,2.315,7.3,3
lmc_sc18_122057,P,0.76,1.0,0.592,0.0,1
lmc_sc18_127645,P,0.539,1.0,0.484,0.0,1
lmc_sc18_127650,P,0.554,0.922,0.807,17.1,3
lmc_sc18_127723,P,0.242,0.749,0.161,3.2,3
lmc_sc18_130463,P,0.702,1.0,0.269,0.0,1
lmc_sc18_133813,P,0.147,0.162,0.161,6.9,3
lmc_sc18_137422,P,0.433,0.723,0.484,7.7,3
lmc_sc18_137430,P,0.283,0.97,0.215,12.9,2
lmc_sc18_141027,P,0.349,0.693,0.556,7.8,3
lmc_sc18_144643,P,0.467,1.0,1.023,0.0,1
lmc_sc18_14994,P,0.3,1.0,0.161,0.0,1
lmc_sc18_152169,P,0.4,0.935,0.592,5.5,3
lmc_sc18_152202,P,0.446,1.0,0.108,0.0,1
lmc_sc18_168877,P,0.696,1.0,0.861,0.0,1
lmc_sc18_171706,P,0.734,1.0,0.7,0.0,1
lmc_sc18_174818,P,0.274,0.989,0.7,13.8,2
lmc_sc18_17772,P,0.788,1.0,0.377,0.0,1
lmc_sc18_183014,P,0.734,1.0,0.161,0.0,1
lmc_sc18_189142,P,0.079,0.252,0.108,4.4,3
lmc_sc18_192988,P,0.103,0.44,0.108,2.8,3
lmc_sc18_25004,P,0.519,0.982,0.377,0.0,1
lmc_sc18_25046,P,0.462,0.983,0.215,11.8,3
lmc_sc18_3070,P,0.406,0.982,0.538,0.0,1
lmc_sc18_33568,P,0.54,1.0,0.431,0.0,1
lmc_sc18_33616,P,0.779,0.972,0.323,9.7,3
lmc_sc18_33633,P,0.142,1.0,0.093,0.0,1
lmc_sc18_66315,P,0.656,1.0,0.054,0.0,1
lmc_sc18_69371,P,0.417,0.97,0.215,2.7,3
lmc_sc18_77866,P,0.671,1.0,0.269,0.0,1
lmc_sc18_77926,P,0.643,0.87,0.161,0.0,1
lmc_sc18_85327,P,0.662,1.0,0.377,0.0,1
lmc_sc18_85335,P,0.623,1.0,0.108,0.0,1
lmc_sc18_85354,P,0.77,0.967,0.161,9.7,3
lmc_sc18_99868,E,0.704,0.989,0.377,13.7,2
lmc_sc18_99913,P,0.696,1.0,0.592,0.0,1
lmc_sc19_102548,P,0.651,1.0,0.7,0.0,1
lmc_sc19_102737,P,0.231,1.0,0.108,0.0,1
lmc_sc19_155109,P,0.908,1.0,0.269,0.0,1
lmc_sc19_163669,P,0.421,0.898,0.592,9.1,3
lmc_sc19_163876,P,0.541,1.0,0.054,0.0,1
lmc_sc19_166723,P,0.775,1.0,0.161,0.0,1
lmc_sc19_166770,P,0.785,0.978,0.592,10.6,3
lmc_sc19_18917,P,0.394,0.942,0.185,4.7,2
lmc_sc19_45024,P,0.572,1.0,0.093,0.0,1
lmc_sc19_55276,P,0.044,0.629,0.0,3.5,2
lmc_sc19_70460,P,0.023,0.986,0.054,0.0,1
lmc_sc19_77922,P,0.134,1.0,0.054,0.0,1
lmc_sc19_92918,P,0.248,0.945,0.108,7.4,3
lmc_sc20_103964,P,0.432,0.934,0.754,12.6,3
lmc_sc20_181621,P,0.108,0.252,0.161,3.8,3
lmc_sc20_32552,E,0.292,0.945,0.161,12.1,3
lmc_sc20_40088,P,0.488,0.94,0.269,10.1,3
lmc_sc20_47300,P,0.843,1.0,0.161,0.0,1
lmc_sc20_83976,P,0.192,1.0,0.047,0.0,1
lmc_sc21_147231,P,0.457,1.0,0.437,0.0,1
lmc_sc21_159721,P,0.875,1.0,0.141,0.0,1
lmc_sc21_165282,P,0.053,0.171,0.164,5.0,3
lmc_sc21_187858,P,0.674,1.0,0.141,0.0,1
lmc_sc21_187918,P,0.607,1.0,0.219,0.0,1
lmc_sc21_188203,P,0.111,0.227,0.094,5.1,3
lmc_sc21_36895,P,0.629,1.0,0.713,0.0,1
lmc_sc21_45467,P,0.539,1.0,0.423,0.0,1
lmc_sc21_57039,P,0.747,1.0,0.656,0.0,1
lmc_sc21_66495,P,0.623,0.876,0.492,7.6,3
lmc_sc21_75290,E,0.596,1.0,0.492,0.0,1
lmc_sc21_89018,P,0.611,1.0,0.164,0.0,1
smc_sc1_105769,P,0.372,0.866,0.185,10.7,3
smc_sc1_105816,P,0.112,0.231,0.416,6.7,3
smc_sc1_11026,E,0.575,0.985,0.324,13.4,3
smc_sc1_55101,P,0.325,0.595,0.185,6.5,2
smc_sc1_60553,P,0.1,0.569,0.231,11.8,3
smc_sc1_75701,P,0.381,1.0,0.185,0.0,1
smc_sc1_7612,P,0.025,0.12,0.139,9.8,3
smc_sc1_80124,P,0.816,1.0,0.092,0.0,1
smc_sc1_92262,E,0.16,0.799,0.324,11.1,3
smc_sc2_2749,P,0.937,1.0,0.185,0.0,1
smc_sc2_28588,P,0.812,0.976,0.231,0.0,1
smc_sc2_29957,P,0.554,1.0,0.185,0.0,1
smc_sc2_31582,P,0.198,1.0,1.758,0.0,1
smc_sc2_35287,P,0.219,1.0,0.278,0.0,1
smc_sc2_35360,P,0.707,1.0,0.37,0.0,1
smc_sc2_53808,P,0.727,1.0,0.185,0.0,1
smc_sc2_53829,P,0.819,1.0,0.185,0.0,1
smc_sc2_71380,P,0.547,1.0,0.231,0.0,1
smc_sc2_7518,P,0.629,1.0,0.14,0.0,1
smc_sc2_79541,P,0.567,1.0,0.516,0.0,1
smc_sc2_81030,P,0.787,1.0,0.046,0.0,1
smc_sc2_88260,P,0.733,1.0,0.516,0.0,1
smc_sc2_90365,P,0.355,1.0,0.231,0.0,1
smc_sc2_92673,P,0.658,1.0,0.277,0.0,1
smc_sc2_94939,P,0.424,0.862,0.601,9.9,3
smc_sc2_94943,P,0.671,1.0,0.324,0.0,1
smc_sc2_99412,P,0.745,1.0,0.185,0.0,1
smc_sc3_118929,P,0.885,1.0,0.139,0.0,1
smc_sc3_122158,P,0.566,1.0,0.231,0.0,1
smc_sc3_125899,P,0.174,0.476,0.185,10.6,3
smc_sc3_130255,P,0.283,1.0,1.203,0.0,1
smc_sc3_134569,P,0.637,1.0,0.231,0.0,1
smc_sc3_139451,P,0.699,0.919,0.74,8.4,3
smc_sc3_139457,P,0.477,1.0,0.139,0.0,1
smc_sc3_144418,P,0.787,1.0,0.139,0.0,1
smc_sc3_144475,P,0.564,0.92,0.463,6.0,3
smc_sc3_15970,P,0.275,0.88,0.231,11.9,3
smc_sc3_175376,P,0.421,0.87,0.046,0.0,1
smc_sc3_189322,P,0.661,0.962,0.185,8.1,3
smc_sc3_193303,P,0.664,1.0,0.185,0.0,1
smc_sc3_197941,P,0.384,1.0,0.37,0.0,1
smc_sc3_197959,P,0.528,1.0,0.37,0.0,1
smc_sc3_197990,P,0.791,1.0,0.277,0.0,1
smc_sc3_198003,E,0.114,0.731,0.258,0.0,1
smc_sc3_198107,P,0.39,0.693,0.139,0.0,1
smc_sc3_221535,P,0.456,1.0,2.081,0.0,1
smc_sc3_238492,E,0.578,0.951,0.694,0.0,1
smc_sc3_35824,P,0.695,1.0,0.37,0.0,1
smc_sc3_55068,P,0.143,0.539,0.139,8.2,3
smc_sc3_5719,P,0.614,0.945,0.185,0.0,1
smc_sc3_57579,P,0.743,1.0,0.278,0.0,1
smc_sc3_6157,P,0.513,1.0,0.231,0.0,1
smc_sc3_63399,P,0.949,1.0,0.139,0.0,1
smc_sc3_63428,P,0.468,1.0,0.093,0.0,1
smc_sc3_63432,E,0.793,1.0,0.185,0.0,1
smc_sc3_67063,P,0.616,1.0,0.277,0.0,1
smc_sc3_71347,P,0.727,1.0,0.324,0.0,1
smc_sc3_71445,P,0.052,0.13,0.093,8.1,3
smc_sc3_75799,E,0.602,1.0,0.139,0.0,1
smc_sc3_84485,P,0.265,1.0,0.139,0.0,1
smc_sc3_8756,P,0.832,1.0,0.185,0.0,1
smc_sc4_101253,P,0.623,1.0,0.258,0.0,1
smc_sc4_103684,P,0.456,1.0,0.462,0.0,1
smc_sc4_103721,E,0.557,1.0,0.421,0.0,1
smc_sc4_103753,P,0.768,1.0,0.277,0.0,1
smc_sc4_103820,P,0.141,0.642,0.084,7.2,2
smc_sc4_106990,P,0.626,1.0,0.185,0.0,1
smc_sc4_110316,P,0.0,1.0,0.0,0.0,1
smc_sc4_110577,P,0.103,1.0,0.093,0.0,1
smc_sc4_11287,P,0.601,1.0,0.37,0.0,1
smc_sc4_113551,P,0.228,1.0,0.462,0.0,1
smc_sc4_113568,P,0.568,1.0,0.416,0.0,1
smc_sc4_113628,P,0.464,1.0,0.185,0.0,1
smc_sc4_113761,P,0.475,1.0,0.046,0.0,1
smc_sc4_113778,P,0.738,1.0,0.324,0.0,1
smc_sc4_116957,P,0.67,0.965,0.786,13.6,2
smc_sc4_116979,P,0.784,1.0,0.337,0.0,1
smc_sc4_117096,P,0.569,1.0,0.37,0.0,1
smc_sc4_120783,P,0.453,1.0,0.231,0.0,1
smc_sc4_120794,P,0.575,1.0,0.28,0.0,1
smc_sc4_120947,P,0.69,1.0,0.231,0.0,1
smc_sc4_120975,P,0.708,1.0,0.231,0.0,1
smc_sc4_121106,P,0.529,1.0,0.084,0.0,1
smc_sc4_124427,P,0.879,1.0,0.277,0.0,1
smc_sc4_124523,E,0.438,1.0,0.647,0.0,1
smc_sc4_124527,P,0.221,1.0,0.046,0.0,1
smc_sc4_124562,P,0.599,1.0,0.879,0.0,1
smc_sc4_127840,P,0.285,0.452,0.253,14.8,3
smc_sc4_127864,P,0.742,1.0,0.324,0.0,1
smc_sc4_131104,E,0.242,0.826,0.139,0.0,1
smc_sc4_145234,P,0.728,1.0,0.139,0.0,1
smc_sc4_156248,P,0.708,1.0,0.185,0.0,1
smc_sc4_156251,P,0.315,0.754,0.462,13.4,3
smc_sc4_159829,P,0.397,0.992,0.277,10.2,3
smc_sc4_159857,P,0.137,0.369,0.231,11.2,3
smc_sc4_163518,P,0.569,1.0,0.832,0.0,1
smc_sc4_163523,P,0.727,1.0,0.37,0.0,1
smc_sc4_163620,P,0.557,1.0,0.0,0.0,1
smc_sc4_163659,E,0.621,1.0,0.139,0.0,1
smc_sc4_163828,P,0.619,1.0,0.185,0.0,1
smc_sc4_163936,P,0.332,0.953,0.092,5.3,3
smc_sc4_167186,P,0.43,1.0,0.277,0.0,1
smc_sc4_167239,P,0.587,1.0,0.37,0.0,1
smc_sc4_167360,P,0.533,1.0,0.277,0.0,1
smc_sc4_167507,P,0.818,1.0,0.231,0.0,1
smc_sc4_167554,P,0.938,1.0,0.092,0.0,1
smc_sc4_171220,P,0.602,1.0,0.74,0.0,1
smc_sc4_171247,P,0.654,1.0,0.694,0.0,1
smc_sc4_171253,P,0.891,1.0,0.139,0.0,1
smc_sc4_171259,P,0.691,1.0,0.832,0.0,1
smc_sc4_171264,E,0.641,0.987,0.185,12.7,2
smc_sc4_171349,P,0.502,1.0,0.324,0.0,1
smc_sc4_175159,P,0.783,1.0,0.416,0.0,1
smc_sc4_175272,P,0.614,1.0,0.416,0.0,1
smc_sc4_178978,P,0.314,1.0,0.185,0.0,1
smc_sc4_179053,P,0.911,1.0,0.139,0.0,1
smc_sc4_179130,P,0.63,1.0,0.416,0.0,1
smc_sc4_179163,P,0.764,1.0,0.277,0.0,1
smc_sc4_182798,P,0.648,1.0,0.185,0.0,1
smc_sc4_186342,P,0.69,1.0,0.185,0.0,1
smc_sc4_186503,P,0.615,1.0,0.231,0.0,1
smc_sc4_18806,P,0.968,1.0,0.046,0.0,1
smc_sc4_18872,P,0.584,1.0,0.139,0.0,1
smc_sc4_195678,P,0.649,1.0,0.277,0.0,1
smc_sc4_22744,P,0.79,1.0,0.093,0.0,1
smc_sc4_22773,P,0.416,1.0,0.185,0.0,1
smc_sc4_22859,P,0.754,1.0,0.093,0.0,1
smc_sc4_32,P,0.457,0.969,0.37,8.1,3
smc_sc4_49236,P,0.677,1.0,0.416,0.0,1
smc_sc4_493,P,0.915,1.0,0.185,0.0,1
smc_sc4_5168,P,0.696,1.0,0.511,0.0,1
smc_sc4_53801,P,0.404,1.0,0.277,0.0,1
smc_sc4_53838,P,0.39,0.728,0.373,10.3,3
smc_sc4_56798,P,0.642,1.0,0.277,0.0,1
smc_sc4_60103,P,0.917,1.0,0.185,0.0,1
smc_sc4_60177,P,0.795,1.0,0.37,0.0,1
smc_sc4_60186,P,0.683,1.0,0.37,0.0,1
smc_sc4_60660,P,0.556,1.0,0.185,0.0,1
smc_sc4_67174,P,0.762,1.0,0.601,0.0,1
smc_sc4_67207,P,0.192,0.85,0.185,8.4,3
smc_sc4_67332,P,0.85,1.0,0.185,0.0,1
smc_sc4_71499,P,0.216,0.804,0.231,11.6,3
smc_sc4_78537,P,0.151,0.471,0.277,11.5,3
smc_sc4_78549,P,0.336,0.904,0.277,8.6,2
smc_sc4_78652,P,0.663,1.0,0.185,0.0,1
smc_sc4_78674,P,0.225,0.493,0.231,5.9,3
smc_sc4_85301,P,0.675,1.0,0.277,0.0,1
smc_sc4_88462,P,0.1,0.326,0.092,10.9,3
smc_sc4_99096,P,0.739,1.0,0.324,0.0,1
smc_sc5_100299,P,0.643,1.0,1.179,0.0,1
smc_sc5_100323,P,0.613,1.0,0.181,0.0,1
smc_sc5_100397,P,0.306,0.962,0.182,13.5,3
smc_sc5_105928,P,0.827,1.0,0.227,0.0,1
smc_sc5_111490,P,0.735,1.0,0.317,0.0,1
smc_sc5_111551,P,0.726,1.0,0.272,0.0,1
smc_sc5_11453,P,0.338,1.0,0.227,0.0,1
smc_sc5_117422,P,0.28,1.0,0.317,0.0,1
smc_sc5_117432,P,0.539,0.993,0.227,14.8,3
smc_sc5_117485,P,0.743,1.0,0.317,0.0,1
smc_sc5_117512,P,0.34,0.904,0.408,8.6,3
smc_sc5_117617,P,0.662,1.0,0.181,0.0,1
smc_sc5_123504,E,0.49,1.0,0.136,0.0,1
smc_sc5_129405,P,0.549,1.0,0.227,0.0,1
smc_sc5_129499,P,0.689,1.0,0.244,0.0,1
smc_sc5_129535,P,0.816,1.0,0.181,0.0,1
smc_sc5_129583,P,0.82,0.963,0.408,6.7,2
smc_sc5_140756,P,0.925,1.0,0.045,0.0,1
smc_sc5_145724,P,0.079,0.921,0.081,10.3,3
smc_sc5_162422,P,0.759,1.0,0.181,0.0,1
smc_sc5_162429,P,0.065,0.876,0.408,0.0,1
smc_sc5_162467,P,0.63,1.0,0.045,0.0,1
smc_sc5_16286,P,0.715,1.0,0.499,0.0,1
smc_sc5_16301,P,0.188,0.897,0.227,0.0,1
smc_sc5_16315,P,0.957,1.0,0.181,0.0,1
smc_sc5_16318,P,0.689,1.0,0.272,0.0,1
smc_sc5_166125,P,0.218,1.0,0.045,0.0,1
smc_sc5_170159,P,0.465,1.0,1.224,0.0,1
smc_sc5_170166,P,0.701,1.0,0.244,0.0,1
smc_sc5_170384,P,0.764,1.0,0.181,0.0,1
smc_sc5_174925,P,0.803,1.0,0.363,0.0,1
smc_sc5_180008,P,0.726,0.966,0.499,0.0,1
smc_sc5_180034,P,0.419,1.0,0.227,0.0,1
smc_sc5_180171,P,0.643,1.0,0.181,0.0,1
smc_sc5_180208,P,0.171,0.499,0.091,7.1,3
smc_sc5_180226,E,0.601,1.0,0.136,0.0,1
smc_sc5_180259,P,0.609,1.0,0.453,0.0,1
smc_sc5_185075,P,0.586,1.0,0.227,0.0,1
smc_sc5_185136,P,0.785,1.0,0.408,0.0,1
smc_sc5_185229,P,0.595,1.0,0.091,0.0,1
smc_sc5_190472,P,0.703,1.0,0.227,0.0,1
smc_sc5_190720,P,0.894,1.0,0.272,0.0,1
smc_sc5_196382,E,0.739,1.0,0.091,0.0,1
smc_sc5_196395,P,0.924,1.0,0.181,0.0,1
